id,code,type,product_qty,active,ready_to_produce,consumption,sequence,product_tmpl_id/id,product_uom_id/id,previous_bom_id/id,company_id/id,bom_line_ids/id,bom_line_ids/product_id/id,bom_line_ids/product_uom_id/id,bom_line_ids/product_qty,bom_line_ids/manual_consumption,bom_line_ids/sequence
mrp_bom_1012,Refill Breisse XM  0.130Kg Batch 500,Manufacture this product,500.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1344,marin.uom_109,,marin_data.company_lmmr,marin_data.mrp_bom_line_1101,marin_data.product_product_1339,uom.product_uom_kgm,65.0,,1
,,,,,,,,,,,,marin_data.mrp_bom_line_1102,marin_data.product_product_1730,uom.product_uom_unit,500.0,,2
mrp_bom_1013,Refill Deprebac XM 46.6+139.8 SL 12x1L Batch 1000L,Manufacture this product,1000.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1492,uom.product_uom_litre,,marin_data.company_lmmr,marin_data.mrp_bom_line_1103,marin_data.product_product_1912,uom.product_uom_litre,1000.0,True,1
,,,,,,,,,,,,marin_data.mrp_bom_line_1104,marin_data.product_product_1663,uom.product_uom_unit,1000.0,,4
,,,,,,,,,,,,marin_data.mrp_bom_line_1105,marin_data.product_product_1664,uom.product_uom_unit,1000.0,,5
,,,,,,,,,,,,marin_data.mrp_bom_line_1106,marin_data.product_product_2094,uom.product_uom_unit,1000.0,,6
,,,,,,,,,,,,marin_data.mrp_bom_line_1107,marin_data.product_product_1501,uom.product_uom_unit,84.0,,7
,,,,,,,,,,,,marin_data.mrp_bom_line_1108,marin_data.product_product_2103,uom.product_uom_unit,84.0,,8
,,,,,,,,,,,,marin_data.mrp_bom_line_1109,marin_data.product_product_2329,uom.product_uom_unit,1.0,,9
mrp_bom_1014,Refill Deprebac XM 46.6+139.8 SL 12x1L Batch 200L,Manufacture this product,200.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1492,uom.product_uom_litre,,marin_data.company_lmmr,marin_data.mrp_bom_line_1110,marin_data.product_product_1912,uom.product_uom_litre,200.0,True,1
,,,,,,,,,,,,marin_data.mrp_bom_line_1111,marin_data.product_product_1663,uom.product_uom_unit,200.0,,4
,,,,,,,,,,,,marin_data.mrp_bom_line_1112,marin_data.product_product_1664,uom.product_uom_unit,200.0,,5
,,,,,,,,,,,,marin_data.mrp_bom_line_1113,marin_data.product_product_2094,uom.product_uom_unit,200.0,,6
,,,,,,,,,,,,marin_data.mrp_bom_line_1114,marin_data.product_product_1501,uom.product_uom_unit,17.0,,7
,,,,,,,,,,,,marin_data.mrp_bom_line_1115,marin_data.product_product_2103,uom.product_uom_unit,17.0,,8
,,,,,,,,,,,,marin_data.mrp_bom_line_1116,marin_data.product_product_2329,uom.product_uom_unit,1.0,,9
mrp_bom_1015,Refill Deprebac XM 46.6+139.8 SL 12x1L Batch 500L,Manufacture this product,500.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1492,uom.product_uom_litre,,marin_data.company_lmmr,marin_data.mrp_bom_line_1117,marin_data.product_product_1912,uom.product_uom_litre,500.0,True,1
,,,,,,,,,,,,marin_data.mrp_bom_line_1118,marin_data.product_product_1663,uom.product_uom_unit,500.0,,4
,,,,,,,,,,,,marin_data.mrp_bom_line_1119,marin_data.product_product_1664,uom.product_uom_unit,500.0,,5
,,,,,,,,,,,,marin_data.mrp_bom_line_1120,marin_data.product_product_2094,uom.product_uom_unit,500.0,,6
,,,,,,,,,,,,marin_data.mrp_bom_line_1121,marin_data.product_product_1501,uom.product_uom_unit,42.0,,7
,,,,,,,,,,,,marin_data.mrp_bom_line_1122,marin_data.product_product_2103,uom.product_uom_unit,42.0,,8
,,,,,,,,,,,,marin_data.mrp_bom_line_1123,marin_data.product_product_2329,uom.product_uom_unit,1.0,,9
mrp_bom_1016,Refill Distriva XM 12x1L Batch 1000L,Manufacture this product,1000.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1504,uom.product_uom_litre,,marin_data.company_lmmr,marin_data.mrp_bom_line_1124,marin_data.product_product_2184,uom.product_uom_kgm,1000.0,True,1
,,,,,,,,,,,,marin_data.mrp_bom_line_1125,marin_data.product_product_1663,uom.product_uom_unit,1000.0,,2
,,,,,,,,,,,,marin_data.mrp_bom_line_1126,marin_data.product_product_1664,uom.product_uom_unit,1000.0,,3
,,,,,,,,,,,,marin_data.mrp_bom_line_1127,marin_data.product_product_2095,uom.product_uom_unit,1000.0,,4
,,,,,,,,,,,,marin_data.mrp_bom_line_1128,marin_data.product_product_1501,uom.product_uom_unit,84.0,,5
,,,,,,,,,,,,marin_data.mrp_bom_line_1129,marin_data.product_product_2104,uom.product_uom_unit,84.0,,6
,,,,,,,,,,,,marin_data.mrp_bom_line_1130,marin_data.product_product_2329,uom.product_uom_unit,1.0,,7
mrp_bom_1017,Refill Distriva XM 12x1L Batch 200L,Manufacture this product,200.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1504,uom.product_uom_litre,,marin_data.company_lmmr,marin_data.mrp_bom_line_1131,marin_data.product_product_2184,uom.product_uom_kgm,200.0,True,1
,,,,,,,,,,,,marin_data.mrp_bom_line_1132,marin_data.product_product_1663,uom.product_uom_unit,200.0,,2
,,,,,,,,,,,,marin_data.mrp_bom_line_1133,marin_data.product_product_1664,uom.product_uom_unit,200.0,,3
,,,,,,,,,,,,marin_data.mrp_bom_line_1134,marin_data.product_product_2095,uom.product_uom_unit,200.0,,4
,,,,,,,,,,,,marin_data.mrp_bom_line_1135,marin_data.product_product_1501,uom.product_uom_unit,17.0,,5
,,,,,,,,,,,,marin_data.mrp_bom_line_1136,marin_data.product_product_2104,uom.product_uom_unit,17.0,,6
,,,,,,,,,,,,marin_data.mrp_bom_line_1137,marin_data.product_product_2329,uom.product_uom_unit,1.0,,7
mrp_bom_1018,Refill Distriva XM 12x1L Batch 500L,Manufacture this product,500.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1504,uom.product_uom_litre,,marin_data.company_lmmr,marin_data.mrp_bom_line_1138,marin_data.product_product_2184,uom.product_uom_kgm,500.0,True,1
,,,,,,,,,,,,marin_data.mrp_bom_line_1139,marin_data.product_product_1663,uom.product_uom_unit,500.0,,2
,,,,,,,,,,,,marin_data.mrp_bom_line_1140,marin_data.product_product_1664,uom.product_uom_unit,500.0,,3
,,,,,,,,,,,,marin_data.mrp_bom_line_1141,marin_data.product_product_2095,uom.product_uom_unit,500.0,,4
,,,,,,,,,,,,marin_data.mrp_bom_line_1142,marin_data.product_product_1501,uom.product_uom_unit,42.0,,5
,,,,,,,,,,,,marin_data.mrp_bom_line_1143,marin_data.product_product_2104,uom.product_uom_unit,42.0,,6
,,,,,,,,,,,,marin_data.mrp_bom_line_1144,marin_data.product_product_2329,uom.product_uom_unit,1.0,,7
mrp_bom_1019,Refill Draisig XM 50+250 SC 12x1L Batch 1000L,Manufacture this product,1000.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1506,uom.product_uom_litre,,marin_data.company_lmmr,marin_data.mrp_bom_line_1145,marin_data.product_product_1424,uom.product_uom_kgm,1000.0,True,1
,,,,,,,,,,,,marin_data.mrp_bom_line_1146,marin_data.product_product_1663,uom.product_uom_unit,1000.0,,4
,,,,,,,,,,,,marin_data.mrp_bom_line_1147,marin_data.product_product_1664,uom.product_uom_unit,1000.0,,5
,,,,,,,,,,,,marin_data.mrp_bom_line_1148,marin_data.product_product_2096,uom.product_uom_unit,1000.0,,6
,,,,,,,,,,,,marin_data.mrp_bom_line_1149,marin_data.product_product_1501,uom.product_uom_unit,84.0,,7
,,,,,,,,,,,,marin_data.mrp_bom_line_1150,marin_data.product_product_2105,uom.product_uom_unit,84.0,,8
,,,,,,,,,,,,marin_data.mrp_bom_line_1151,marin_data.product_product_2329,uom.product_uom_unit,1.0,,9
mrp_bom_1020,Refill Draisig XM 50+250 SC 12x1L Batch 200L,Manufacture this product,200.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1506,uom.product_uom_litre,,marin_data.company_lmmr,marin_data.mrp_bom_line_1152,marin_data.product_product_1424,uom.product_uom_kgm,200.0,True,1
,,,,,,,,,,,,marin_data.mrp_bom_line_1153,marin_data.product_product_1663,uom.product_uom_unit,200.0,,4
,,,,,,,,,,,,marin_data.mrp_bom_line_1154,marin_data.product_product_1664,uom.product_uom_unit,200.0,,5
,,,,,,,,,,,,marin_data.mrp_bom_line_1155,marin_data.product_product_2096,uom.product_uom_unit,200.0,,6
,,,,,,,,,,,,marin_data.mrp_bom_line_1156,marin_data.product_product_1501,uom.product_uom_unit,17.0,,7
,,,,,,,,,,,,marin_data.mrp_bom_line_1157,marin_data.product_product_2105,uom.product_uom_unit,17.0,,8
,,,,,,,,,,,,marin_data.mrp_bom_line_1158,marin_data.product_product_2329,uom.product_uom_unit,1.0,,9
mrp_bom_1021,Refill Draisig XM 50+250 SC 12x1L Batch 500L,Manufacture this product,500.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1506,uom.product_uom_litre,,marin_data.company_lmmr,marin_data.mrp_bom_line_1159,marin_data.product_product_1424,uom.product_uom_kgm,500.0,True,1
,,,,,,,,,,,,marin_data.mrp_bom_line_1160,marin_data.product_product_1663,uom.product_uom_unit,500.0,,4
,,,,,,,,,,,,marin_data.mrp_bom_line_1161,marin_data.product_product_1664,uom.product_uom_unit,500.0,,5
,,,,,,,,,,,,marin_data.mrp_bom_line_1162,marin_data.product_product_2096,uom.product_uom_unit,500.0,,6
,,,,,,,,,,,,marin_data.mrp_bom_line_1163,marin_data.product_product_1501,uom.product_uom_unit,42.0,,7
,,,,,,,,,,,,marin_data.mrp_bom_line_1164,marin_data.product_product_2105,uom.product_uom_unit,42.0,,8
,,,,,,,,,,,,marin_data.mrp_bom_line_1165,marin_data.product_product_2329,uom.product_uom_unit,1.0,,9
mrp_bom_1022,Formulate Estelis XM 12x1L Batch 1000L,Manufacture this product,1000.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1527,uom.product_uom_litre,,marin_data.company_lmmr,marin_data.mrp_bom_line_1166,marin_data.product_product_1765,uom.product_uom_kgm,822.92,,1
,,,,,,,,,,,,marin_data.mrp_bom_line_1167,marin_data.product_product_1338,marin.uom_130,284.0,,2
,,,,,,,,,,,,marin_data.mrp_bom_line_1168,marin_data.product_product_1784,uom.product_uom_kgm,4.54,,3
,,,,,,,,,,,,marin_data.mrp_bom_line_1169,marin_data.product_product_2121,uom.product_uom_kgm,1.82,,4
,,,,,,,,,,,,marin_data.mrp_bom_line_1170,marin_data.product_product_1167,uom.product_uom_kgm,11.36,,5
,,,,,,,,,,,,marin_data.mrp_bom_line_1171,marin_data.product_product_1121,uom.product_uom_kgm,11.36,,6
,,,,,,,,,,,,marin_data.mrp_bom_line_1172,marin_data.product_product_1663,uom.product_uom_unit,1000.0,,7
,,,,,,,,,,,,marin_data.mrp_bom_line_1173,marin_data.product_product_1664,uom.product_uom_unit,1000.0,,8
,,,,,,,,,,,,marin_data.mrp_bom_line_1174,marin_data.product_product_1124,uom.product_uom_unit,1000.0,,9
,,,,,,,,,,,,marin_data.mrp_bom_line_1175,marin_data.product_product_1501,uom.product_uom_unit,84.0,,10
,,,,,,,,,,,,marin_data.mrp_bom_line_1176,marin_data.product_product_1129,uom.product_uom_unit,84.0,,11
,,,,,,,,,,,,marin_data.mrp_bom_line_1177,marin_data.product_product_2329,uom.product_uom_unit,1.0,,12
mrp_bom_1023,Formulate Estelis XM 12x1L Batch 200L,Manufacture this product,200.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1527,uom.product_uom_litre,,marin_data.company_lmmr,marin_data.mrp_bom_line_1178,marin_data.product_product_1765,uom.product_uom_kgm,164.58,,1
,,,,,,,,,,,,marin_data.mrp_bom_line_1179,marin_data.product_product_1338,marin.uom_130,56.8,,2
,,,,,,,,,,,,marin_data.mrp_bom_line_1180,marin_data.product_product_1784,uom.product_uom_kgm,0.91,,3
,,,,,,,,,,,,marin_data.mrp_bom_line_1181,marin_data.product_product_2121,uom.product_uom_kgm,0.36,,4
,,,,,,,,,,,,marin_data.mrp_bom_line_1182,marin_data.product_product_1167,uom.product_uom_kgm,2.272,,5
,,,,,,,,,,,,marin_data.mrp_bom_line_1183,marin_data.product_product_1121,uom.product_uom_kgm,2.272,,6
,,,,,,,,,,,,marin_data.mrp_bom_line_1184,marin_data.product_product_1663,uom.product_uom_unit,200.0,,7
,,,,,,,,,,,,marin_data.mrp_bom_line_1185,marin_data.product_product_1664,uom.product_uom_unit,200.0,,8
,,,,,,,,,,,,marin_data.mrp_bom_line_1186,marin_data.product_product_1124,uom.product_uom_unit,200.0,,9
,,,,,,,,,,,,marin_data.mrp_bom_line_1187,marin_data.product_product_1501,uom.product_uom_unit,17.0,,10
,,,,,,,,,,,,marin_data.mrp_bom_line_1188,marin_data.product_product_1129,uom.product_uom_unit,17.0,,11
,,,,,,,,,,,,marin_data.mrp_bom_line_1189,marin_data.product_product_2329,uom.product_uom_unit,1.0,,12
mrp_bom_1024,Formulate Estelis XM 12x1L Batch 500L,Manufacture this product,500.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1527,uom.product_uom_litre,,marin_data.company_lmmr,marin_data.mrp_bom_line_1190,marin_data.product_product_1765,uom.product_uom_kgm,411.46,,1
