"id","company_id/id","previous_bom_id/id","product_tmpl_id/id","product_uom_id/id","code","product_qty","type","ready_to_produce","consumption","sequence","active","bom_line_ids/id","bom_line_ids/product_id/id","bom_line_ids/product_uom_id/id","bom_line_ids/product_qty","bom_line_ids/manual_consumption","bom_line_ids/sequence"
"marin.bom_1010","marin.company_lmmg","","marin.product_template_1509","uom.product_uom_litre","Refill Draisig XM 12x1L 1000","1000.0","Manufacture this product"," When all components are available","Allowed with warning","4","True","marin.bom_line_1096","marin.product_product_1426","uom.product_uom_kgm","1000.0","True","1"
"","","","","","","","","","","","","marin.bom_line_1097","marin.product_product_1666","uom.product_uom_unit","1000.0","","4"
"","","","","","","","","","","","","marin.bom_line_1098","marin.product_product_1667","uom.product_uom_unit","1000.0","","5"
"","","","","","","","","","","","","marin.bom_line_1099","marin.product_product_2100","uom.product_uom_unit","1000.0","","6"
"","","","","","","","","","","","","marin.bom_line_1100","marin.product_product_1504","uom.product_uom_unit","83.33","","7"
"","","","","","","","","","","","","marin.bom_line_1101","marin.product_product_2109","uom.product_uom_unit","83.33","","8"
"","","","","","","","","","","","","marin.bom_line_1102","marin.product_product_2333","uom.product_uom_unit","2.0","","9"
"marin.bom_1011","marin.company_lmmg","","marin.product_template_1530","uom.product_uom_litre","Formulate Estelis XM 12x1L Batch 1000","1000.0","Manufacture this product"," When all components are available","Allowed with warning","18","True","marin.bom_line_1103","marin.product_product_1767","uom.product_uom_kgm","822.92","","1"
"","","","","","","","","","","","","marin.bom_line_1104","marin.product_product_1339","uom.product_uom_kgm","284.0","True","2"
"","","","","","","","","","","","","marin.bom_line_1105","marin.product_product_1786","uom.product_uom_kgm","4.54","True","3"
"","","","","","","","","","","","","marin.bom_line_1106","marin.product_product_2125","uom.product_uom_kgm","1.82","True","4"
"","","","","","","","","","","","","marin.bom_line_1107","marin.product_product_1168","uom.product_uom_kgm","11.36","True","5"
"","","","","","","","","","","","","marin.bom_line_1108","marin.product_product_1121","uom.product_uom_kgm","11.36","True","6"
"","","","","","","","","","","","","marin.bom_line_1109","marin.product_product_1666","uom.product_uom_unit","1000.0","","7"
"","","","","","","","","","","","","marin.bom_line_1110","marin.product_product_1667","uom.product_uom_unit","1000.0","","8"
"","","","","","","","","","","","","marin.bom_line_1111","marin.product_product_1124","uom.product_uom_unit","1000.0","","11"
"","","","","","","","","","","","","marin.bom_line_1112","marin.product_product_1129","uom.product_uom_unit","83.0","","12"
"","","","","","","","","","","","","marin.bom_line_1113","marin.product_product_1504","uom.product_uom_unit","83.0","","13"
"","","","","","","","","","","","","marin.bom_line_1114","marin.product_product_2333","uom.product_uom_unit","2.0","","14"
"marin.bom_1012","marin.company_lmmg","","marin.product_template_1531","uom.product_uom_litre","Formulate Estelis Soil XM 12x1L Batch 1000","1000.0","Manufacture this product"," When all components are available","Allowed with warning","17","True","marin.bom_line_1115","marin.product_product_1767","uom.product_uom_kgm","703.87","","1"
"","","","","","","","","","","","","marin.bom_line_1116","marin.product_product_1339","uom.product_uom_kgm","493.6","True","2"
"","","","","","","","","","","","","marin.bom_line_1117","marin.product_product_1786","uom.product_uom_kgm","4.94","True","3"
"","","","","","","","","","","","","marin.bom_line_1118","marin.product_product_2125","uom.product_uom_kgm","1.97","True","4"
"","","","","","","","","","","","","marin.bom_line_1119","marin.product_product_1168","uom.product_uom_kgm","19.74","True","5"
"","","","","","","","","","","","","marin.bom_line_1120","marin.product_product_1121","uom.product_uom_kgm","9.87","True","6"
"","","","","","","","","","","","","marin.bom_line_1121","marin.product_product_1666","uom.product_uom_unit","1000.0","","7"
"","","","","","","","","","","","","marin.bom_line_1122","marin.product_product_1667","uom.product_uom_unit","1000.0","","8"
"","","","","","","","","","","","","marin.bom_line_1123","marin.product_product_1123","uom.product_uom_unit","1000.0","","9"
"","","","","","","","","","","","","marin.bom_line_1124","marin.product_product_1128","uom.product_uom_unit","83.0","","10"
"","","","","","","","","","","","","marin.bom_line_1125","marin.product_product_1504","uom.product_uom_unit","83.0","","11"
"","","","","","","","","","","","","marin.bom_line_1126","marin.product_product_2333","uom.product_uom_unit","2.0","","12"
"marin.bom_1013","marin.company_lmmg","","marin.product_template_1532","uom.product_uom_litre","Refill Eterbel XM 12x1L 1000","1000.0","Manufacture this product","When components for 1st operation are available","Allowed","5","True","marin.bom_line_1127","marin.product_product_1705","uom.product_uom_litre","1000.0","True","1"
"","","","","","","","","","","","","marin.bom_line_1128","marin.product_product_1666","uom.product_uom_unit","1000.0","","4"
"","","","","","","","","","","","","marin.bom_line_1129","marin.product_product_1667","uom.product_uom_unit","1000.0","","5"
"","","","","","","","","","","","","marin.bom_line_1130","marin.product_product_1125","uom.product_uom_unit","1000.0","","6"
"","","","","","","","","","","","","marin.bom_line_1131","marin.product_product_1504","uom.product_uom_unit","83.33","","7"
"","","","","","","","","","","","","marin.bom_line_1132","marin.product_product_1130","uom.product_uom_unit","83.33","","8"
"","","","","","","","","","","","","marin.bom_line_1133","marin.product_product_2333","uom.product_uom_unit","2.0","","9"
"marin.bom_1014","marin.company_lmmg","","marin.product_template_1546","marin.uom_uom_133","Refill Ferti Beet XM 6x2Kg 1000","500.0","Manufacture this product"," When all components are available","Allowed with warning","6","True","marin.bom_line_1134","marin.product_product_1309","uom.product_uom_kgm","1000.0","","3"
"","","","","","","","","","","","","marin.bom_line_1135","marin.product_product_1733","uom.product_uom_unit","500.0","","5"
