id,name,qty,sales,purchase,product_id/id,package_type_id/id
marin.product_packaging_1216,12x1,12.0,True,True,marin.product_product_1849,marin.stock_package_type_8
marin.product_packaging_1217,12x1,12.0,True,True,marin.product_product_1854,marin.stock_package_type_8
marin.product_packaging_1218,12x1,12.0,True,True,marin.product_product_1856,marin.stock_package_type_8
marin.product_packaging_1219,20x1,20.0,True,True,marin.product_product_1862,marin.stock_package_type_19
marin.product_packaging_1220,20x1,20.0,True,True,marin.product_product_1863,marin.stock_package_type_17
marin.product_packaging_1221,2x1,2.0,True,True,marin.product_product_1880,marin.stock_package_type_23
marin.product_packaging_1222,12x1,12.0,True,True,marin.product_product_1884,marin.stock_package_type_8
marin.product_packaging_1223,12x1,12.0,True,True,marin.product_product_1885,marin.stock_package_type_8
marin.product_packaging_1224,12x1,12.0,True,True,marin.product_product_1886,marin.stock_package_type_8
marin.product_packaging_1225,25kg,1.0,True,True,marin.product_product_1893,marin.stock_package_type_42
marin.product_packaging_1226,16x1,16.0,True,True,marin.product_product_1895,marin.stock_package_type_9
marin.product_packaging_1227,12x1,12.0,True,True,marin.product_product_1896,marin.stock_package_type_8
marin.product_packaging_1228,12x1,12.0,True,True,marin.product_product_1902,marin.stock_package_type_8
marin.product_packaging_1229,1x20,1.0,True,True,marin.product_product_1903,marin.stock_package_type_37
marin.product_packaging_1230,12x1,12.0,True,True,marin.product_product_1904,marin.stock_package_type_8
marin.product_packaging_1231,12x1,12.0,True,True,marin.product_product_1905,marin.stock_package_type_8
marin.product_packaging_1232,12x1,12.0,True,True,marin.product_product_1906,marin.stock_package_type_8
marin.product_packaging_1233,1x20,1.0,True,True,marin.product_product_1907,marin.stock_package_type_37
marin.product_packaging_1234,4x5,4.0,True,True,marin.product_product_1908,marin.stock_package_type_24
marin.product_packaging_1235,1x20,1.0,True,True,marin.product_product_1916,marin.stock_package_type_37
marin.product_packaging_1236,1x25,1.0,True,True,marin.product_product_1917,marin.stock_package_type_42
marin.product_packaging_1237,12x1,12.0,True,True,marin.product_product_1919,marin.stock_package_type_8
marin.product_packaging_1238,12x1,12.0,True,True,marin.product_product_1921,marin.stock_package_type_8
marin.product_packaging_1239,12x1,12.0,True,True,marin.product_product_1922,marin.stock_package_type_8
marin.product_packaging_1240,1x20,1.0,True,True,marin.product_product_1928,marin.stock_package_type_37
marin.product_packaging_1241,10x1,10.0,True,True,marin.product_product_1931,marin.stock_package_type_4
marin.product_packaging_1242,12x1,12.0,True,True,marin.product_product_1933,marin.stock_package_type_8
marin.product_packaging_1243,12x1,12.0,True,True,marin.product_product_1934,marin.stock_package_type_8
marin.product_packaging_1244,12x1,12.0,True,True,marin.product_product_1938,marin.stock_package_type_33
marin.product_packaging_1245,2x1,2.0,True,True,marin.product_product_1970,marin.stock_package_type_22
marin.product_packaging_1246,12x1,12.0,True,True,marin.product_product_1977,marin.stock_package_type_8
marin.product_packaging_1247,1x25,1.0,True,True,marin.product_product_1981,marin.stock_package_type_42
marin.product_packaging_1248,50kg,0.05,True,True,marin.product_product_1982,marin.stock_package_type_43
marin.product_packaging_1249,12x1,12.0,True,True,marin.product_product_1986,marin.stock_package_type_8
marin.product_packaging_1250,12x1,12.0,True,True,marin.product_product_1990,marin.stock_package_type_29
marin.product_packaging_1251,12x1,12.0,True,True,marin.product_product_1991,marin.stock_package_type_8
marin.product_packaging_1252,16x1,16.0,True,True,marin.product_product_1996,marin.stock_package_type_13
marin.product_packaging_1253,20x1,20.0,True,True,marin.product_product_1997,marin.stock_package_type_15
marin.product_packaging_1254,4x1,4.0,True,True,marin.product_product_1998,marin.stock_package_type_24
marin.product_packaging_1255,12x1,12.0,True,True,marin.product_product_2001,marin.stock_package_type_9
marin.product_packaging_1256,12x1,12.0,True,True,marin.product_product_2002,marin.stock_package_type_8
marin.product_packaging_1257,12x1,12.0,True,True,marin.product_product_2003,marin.stock_package_type_8
marin.product_packaging_1258,1x20,1.0,True,True,marin.product_product_2004,marin.stock_package_type_37
marin.product_packaging_1259,12x1,12.0,True,True,marin.product_product_2005,marin.stock_package_type_8
marin.product_packaging_1260,12x1,12.0,True,True,marin.product_product_2006,marin.stock_package_type_8
marin.product_packaging_1261,12x1,12.0,True,True,marin.product_product_2007,marin.stock_package_type_8
marin.product_packaging_1262,1x20,1.0,True,True,marin.product_product_2008,marin.stock_package_type_37
marin.product_packaging_1263,12x1,12.0,True,True,marin.product_product_2018,marin.stock_package_type_8
marin.product_packaging_1264,12x1,12.0,True,True,marin.product_product_2019,marin.stock_package_type_8
marin.product_packaging_1265,12x1,12.0,True,True,marin.product_product_2022,marin.stock_package_type_8
marin.product_packaging_1266,12X1,1.0,True,True,marin.product_product_2025,marin.stock_package_type_8
marin.product_packaging_1267,12x1,12.0,True,True,marin.product_product_2026,marin.stock_package_type_8
marin.product_packaging_1268,12x1,12.0,True,True,marin.product_product_2027,marin.stock_package_type_8
marin.product_packaging_1269,12x1,12.0,True,True,marin.product_product_2029,marin.stock_package_type_8
marin.product_packaging_1270,10x1,10.0,True,True,marin.product_product_2030,marin.stock_package_type_3
marin.product_packaging_1271,10x1,10.0,True,True,marin.product_product_2031,marin.stock_package_type_3
marin.product_packaging_1272,1x200,1.0,True,True,marin.product_product_2038,marin.stock_package_type_34
marin.product_packaging_1273,1x20,1.0,True,True,marin.product_product_2045,marin.stock_package_type_37
marin.product_packaging_1274,1x20,1.0,True,True,marin.product_product_2046,marin.stock_package_type_37
marin.product_packaging_1275,12x1,1.0,True,True,marin.product_product_2055,marin.stock_package_type_8
marin.product_packaging_1276,2x9,2.0,True,True,marin.product_product_2056,marin.stock_package_type_23
marin.product_packaging_1277,1x20,1.0,True,True,marin.product_product_2058,marin.stock_package_type_37
marin.product_packaging_1278,1x200,1.0,True,True,marin.product_product_2060,marin.stock_package_type_34
marin.product_packaging_1279,50kg,0.05,True,True,marin.product_product_2064,marin.stock_package_type_43
marin.product_packaging_1280,12x1,12.0,True,True,marin.product_product_2068,marin.stock_package_type_8
marin.product_packaging_1281,12x1,12.0,True,True,marin.product_product_2075,marin.stock_package_type_8
marin.product_packaging_1282,12x1,12.0,True,True,marin.product_product_2077,marin.stock_package_type_8
marin.product_packaging_1283,15x1,15.0,True,True,marin.product_product_2079,marin.stock_package_type_10
marin.product_packaging_1284,12x1,12.0,True,True,marin.product_product_2082,marin.stock_package_type_8
marin.product_packaging_1285,10x1,10.0,True,True,marin.product_product_2090,marin.stock_package_type_4
marin.product_packaging_1286,4x1,4.0,True,True,marin.product_product_2091,marin.stock_package_type_25
marin.product_packaging_1287,20x1,20.0,True,True,marin.product_product_2098,marin.stock_package_type_16
marin.product_packaging_1288,12x1,12.0,True,True,marin.product_product_2099,marin.stock_package_type_8
marin.product_packaging_1289,12x1,12.0,True,True,marin.product_product_2100,marin.stock_package_type_8
marin.product_packaging_1290,12x1,12.0,True,True,marin.product_product_2120,marin.stock_package_type_8
marin.product_packaging_1291,12x1,12.0,True,True,marin.product_product_2150,marin.stock_package_type_8
marin.product_packaging_1292,12x1,12.0,True,True,marin.product_product_2154,marin.stock_package_type_8
marin.product_packaging_1293,12x1,12.0,True,True,marin.product_product_2157,marin.stock_package_type_8
marin.product_packaging_1294,12x1,12.0,True,True,marin.product_product_2160,marin.stock_package_type_8
marin.product_packaging_1295,12x1,12.0,True,True,marin.product_product_2162,marin.stock_package_type_8
marin.product_packaging_1296,12x1,12.0,True,True,marin.product_product_2163,marin.stock_package_type_8
marin.product_packaging_1297,30x1,30.0,True,True,marin.product_product_2165,marin.stock_package_type_8
marin.product_packaging_1298,12x1,12.0,True,True,marin.product_product_2169,marin.stock_package_type_8
marin.product_packaging_1299,12x1,12.0,True,True,marin.product_product_2171,marin.stock_package_type_8
marin.product_packaging_1300,12x1,12.0,True,True,marin.product_product_2175,marin.stock_package_type_8
marin.product_packaging_1301,12x1,12.0,True,True,marin.product_product_2177,marin.stock_package_type_8
marin.product_packaging_1302,12x1,12.0,True,True,marin.product_product_2180,marin.stock_package_type_8
marin.product_packaging_1303,12x1,12.0,True,True,marin.product_product_2184,marin.stock_package_type_8
marin.product_packaging_1304,12x1,12.0,True,True,marin.product_product_2187,marin.stock_package_type_8
marin.product_packaging_1305,12x1,12.0,True,True,marin.product_product_2188,marin.stock_package_type_8
marin.product_packaging_1306,12x1,12.0,True,True,marin.product_product_2190,marin.stock_package_type_8
marin.product_packaging_1307,12x1,12.0,True,True,marin.product_product_2193,marin.stock_package_type_8
marin.product_packaging_1308,12x1,12.0,True,True,marin.product_product_2195,marin.stock_package_type_8
marin.product_packaging_1309,12x1,12.0,True,True,marin.product_product_2201,marin.stock_package_type_8
marin.product_packaging_1310,12x1,12.0,True,True,marin.product_product_2202,marin.stock_package_type_29
marin.product_packaging_1311,12x1,12.0,True,True,marin.product_product_2205,marin.stock_package_type_8
marin.product_packaging_1312,12x1,12.0,True,True,marin.product_product_2206,marin.stock_package_type_8
marin.product_packaging_1313,12x1,12.0,True,True,marin.product_product_2214,marin.stock_package_type_8
marin.product_packaging_1314,1x20,1.0,True,True,marin.product_product_2220,marin.stock_package_type_37
marin.product_packaging_1315,12x1,12.0,True,True,marin.product_product_2221,marin.stock_package_type_8
marin.product_packaging_1316,12x1,12.0,True,True,marin.product_product_2225,marin.stock_package_type_8
marin.product_packaging_1317,12x1,12.0,True,True,marin.product_product_2228,marin.stock_package_type_8
marin.product_packaging_1318,12x1,12.0,True,True,marin.product_product_2231,marin.stock_package_type_8
marin.product_packaging_1319,2x1,2.0,True,True,marin.product_product_2232,marin.stock_package_type_23
marin.product_packaging_1320,12x1,12.0,True,True,marin.product_product_2235,marin.stock_package_type_8
marin.product_packaging_1321,12x1,12.0,True,True,marin.product_product_2237,marin.stock_package_type_8
marin.product_packaging_1322,1x20,1.0,True,True,marin.product_product_2239,marin.stock_package_type_37
marin.product_packaging_1323,12x1,12.0,True,True,marin.product_product_2243,marin.stock_package_type_8
marin.product_packaging_1324,50kg,0.05,True,True,marin.product_product_2247,marin.stock_package_type_43
marin.product_packaging_1325,1x25,1.0,True,True,marin.product_product_2248,marin.stock_package_type_42
marin.product_packaging_1326,50kg,0.05,True,True,marin.product_product_2250,marin.stock_package_type_43
marin.product_packaging_1327,12x1,12.0,True,True,marin.product_product_2251,marin.stock_package_type_8
marin.product_packaging_1328,12x1,12.0,True,True,marin.product_product_2252,marin.stock_package_type_8
marin.product_packaging_1329,1x18,1.0,True,True,marin.product_product_2253,marin.stock_package_type_36
marin.product_packaging_1330,12x1,12.0,True,True,marin.product_product_2258,marin.stock_package_type_8
marin.product_packaging_1331,10x1,10.0,True,True,marin.product_product_2263,marin.stock_package_type_6
marin.product_packaging_1332,2x10L,2.0,True,True,marin.product_product_2264,marin.stock_package_type_23
marin.product_packaging_1333,12x1,12.0,True,True,marin.product_product_2265,marin.stock_package_type_8
marin.product_packaging_1334,12x1,12.0,True,True,marin.product_product_2273,marin.stock_package_type_8
marin.product_packaging_1335,14x1,14.0,True,True,marin.product_product_2274,marin.stock_package_type_36
marin.product_packaging_1336,12x1,12.0,True,True,marin.product_product_2286,marin.stock_package_type_8
marin.product_packaging_1337,1x10,1.0,True,True,marin.product_product_2287,marin.stock_package_type_38
marin.product_packaging_1338,10x1,10.0,True,True,marin.product_product_2291,marin.stock_package_type_3
marin.product_packaging_1339,12x1,12.0,True,True,marin.product_product_2298,marin.stock_package_type_8
marin.product_packaging_1340,16x1,16.0,True,True,marin.product_product_2299,marin.stock_package_type_13
marin.product_packaging_1341,10x1,10.0,True,True,marin.product_product_2300,marin.stock_package_type_1
marin.product_packaging_1342,12x1,12.0,True,True,marin.product_product_2302,marin.stock_package_type_8
marin.product_packaging_1343,12x1,12.0,True,True,marin.product_product_2314,marin.stock_package_type_9
marin.product_packaging_1344,1x20,1.0,True,True,marin.product_product_2321,marin.stock_package_type_41
marin.product_packaging_1345,10x1,10.0,True,True,marin.product_product_2328,marin.stock_package_type_29
marin.product_packaging_1346,50kg,0.05,True,True,marin.product_product_2331,marin.stock_package_type_43
