id,name,default_code,type,uom_id/id,uom_po_id/id,standard_price,list_price,volume,weight,base_unit_count,barcode,x_dose_x_ha,active,available_in_pos,can_be_expensed,purchase_ok,rent_ok,sale_ok,landed_cost_ok,is_published,is_storable,tracking,invoice_policy,purchase_method,pos_categ_ids/id,categ_id/id,unspsc_code_id/id
marin.product_template_2154,SHK Amin 800 0.500kg,,Goods,marin.uom_uom_110,marin.uom_uom_110,0.0,400.0,0.0,0.5,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_127,product_unspsc.unspsc_code_10161527
marin.product_template_2155,SHK Betagli Max 0.500kg,,Goods,marin.uom_uom_110,marin.uom_uom_110,0.0,600.0,0.0,0.5,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_127,product_unspsc.unspsc_code_10161527
marin.product_template_2156,SHK Betagli Max 1x2kg,,Goods,marin.uom_uom_133,marin.uom_uom_133,0.0,2300.0,0.0,2.0,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_127,product_unspsc.unspsc_code_10161527
marin.product_template_2157,SHK Boron 0.500kg,,Goods,marin.uom_uom_110,marin.uom_uom_110,0.0,285.0,0.0,0.5,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_130,product_unspsc.unspsc_code_10161527
marin.product_template_2158,SHK Calcium 18% 0.100kg,,Goods,marin.uom_uom_117,marin.uom_uom_117,0.0,0.0,0.0,0.1,1.0,,0.0,,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_130,product_unspsc.unspsc_code_10161527
marin.product_template_2159,SHK Calcium 18% 0.250kg,,Goods,marin.uom_uom_112,marin.uom_uom_112,0.0,310.0,0.0,0.25,1.0,,0.0,,,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_130,product_unspsc.unspsc_code_10161527
marin.product_template_2160,SHK Calcium 18% 0.500kg,,Goods,marin.uom_uom_110,marin.uom_uom_110,0.0,720.0,0.0,0.5,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_129,product_unspsc.unspsc_code_10161527
marin.product_template_2161,SHK Calcium Boron 0.250kg,,Goods,marin.uom_uom_112,marin.uom_uom_112,0.0,315.0,0.0,0.25,1.0,,0.0,,,,True,,,,,True,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_130,product_unspsc.unspsc_code_10161527
marin.product_template_2162,SHK Calcium Boron 0.500kg,,Goods,marin.uom_uom_110,marin.uom_uom_110,0.0,730.0,0.0,0.5,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_129,product_unspsc.unspsc_code_10161527
marin.product_template_2163,SHK Calcium Molibdeno 0.500kg,,Goods,marin.uom_uom_110,marin.uom_uom_110,0.0,720.0,0.0,0.5,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_129,product_unspsc.unspsc_code_10161527
marin.product_template_2164,SHK Copper 16.4% 0.050kg,,Goods,uom.product_uom_unit,uom.product_uom_unit,0.0,220.0,0.0,0.0,1.0,,0.0,,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_130,product_unspsc.unspsc_code_10161527
marin.product_template_2165,SHK Copper 16.4% 0.150kg,,Goods,marin.uom_uom_116,marin.uom_uom_116,0.0,330.0,0.0,0.15,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_130,product_unspsc.unspsc_code_10161527
marin.product_template_2166,SHK Copper 16.4% 0.500kg,,Goods,marin.uom_uom_110,marin.uom_uom_110,0.0,0.0,0.0,0.5,1.0,,0.0,,True,,True,,True,,,True,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_129,product_unspsc.unspsc_code_10161527
marin.product_template_2167,SHK Iron 15% 0.100kg,,Goods,marin.uom_uom_117,marin.uom_uom_117,0.0,135.0,0.0,0.1,1.0,,0.0,,True,,True,,True,,,True,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_129,product_unspsc.unspsc_code_10161527
marin.product_template_2168,SHK Iron 15% 0.250kg,,Goods,marin.uom_uom_112,marin.uom_uom_112,0.0,380.0,0.0,0.25,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_130,product_unspsc.unspsc_code_10161527
marin.product_template_2169,SHK Iron 15% 0.500kg,,Goods,marin.uom_uom_110,marin.uom_uom_110,0.0,720.0,0.0,0.5,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_130,product_unspsc.unspsc_code_10161527
marin.product_template_2170,SHK Magnesium 0.100kg,,Goods,marin.uom_uom_117,marin.uom_uom_117,0.0,126.0,0.0,0.1,1.0,,0.0,,True,,True,,True,,,True,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_129,product_unspsc.unspsc_code_10161527
marin.product_template_2171,SHK Magnesium 0.500kg,,Goods,marin.uom_uom_110,marin.uom_uom_110,0.0,720.0,0.0,0.5,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_129,product_unspsc.unspsc_code_10161527
marin.product_template_2172,SHK Mixboost 0.500kg,,Goods,marin.uom_uom_110,marin.uom_uom_110,0.0,266.0,0.0,0.5,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_130,product_unspsc.unspsc_code_10161527
marin.product_template_2173,SHK Multiboost 0.100kg,,Goods,marin.uom_uom_117,marin.uom_uom_117,0.0,140.0,0.0,0.1,1.0,,0.0,,True,,True,,True,,,True,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_130,product_unspsc.unspsc_code_10161527
marin.product_template_2174,SHK Multiboost 0.250kg,,Goods,marin.uom_uom_112,marin.uom_uom_112,0.0,315.0,0.0,0.25,1.0,,0.0,,,,True,,True,,,True,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_130,product_unspsc.unspsc_code_10161527
marin.product_template_2175,SHK Multiboost 0.500kg,,Goods,marin.uom_uom_110,marin.uom_uom_110,0.0,730.0,0.0,0.5,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_130,product_unspsc.unspsc_code_10161527
marin.product_template_2176,SHK PK 0-17-17 0.100kg,,Goods,marin.uom_uom_117,marin.uom_uom_117,0.0,0.0,0.0,0.1,1.0,,0.0,,True,,True,,True,,,True,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_129,product_unspsc.unspsc_code_10161527
marin.product_template_2177,SHK PK 0-17-17 0.500kg,,Goods,marin.uom_uom_110,marin.uom_uom_110,0.0,285.0,0.0,0.5,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_129,product_unspsc.unspsc_code_10161527
marin.product_template_2178,SHK Potassium 24% 0.100kg,,Goods,marin.uom_uom_117,marin.uom_uom_117,0.0,27.0,0.0,0.1,1.0,,0.0,,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_128,product_unspsc.unspsc_code_10161527
marin.product_template_2179,SHK Potassium 24% 0.250kg,,Goods,marin.uom_uom_112,marin.uom_uom_112,0.0,1.0,0.0,0.25,1.0,,0.0,,,,True,,,,,True,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_128,product_unspsc.unspsc_code_10161527
marin.product_template_2180,SHK Potassium 24% 0.500kg,,Goods,marin.uom_uom_110,marin.uom_uom_110,0.0,285.0,0.0,0.5,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_128,product_unspsc.unspsc_code_10161527
marin.product_template_2181,SHK Potassium 24% 1kg,,Goods,uom.product_uom_kgm,uom.product_uom_kgm,0.0,0.0,0.001,1.0,1.0,,0.0,,True,,True,,True,,,True,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_128,product_unspsc.unspsc_code_10161527
marin.product_template_2182,SHK Romel 1L,,Goods,uom.product_uom_litre,uom.product_uom_litre,0.0,1300.0,0.001,1.1,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_133,product_unspsc.unspsc_code_10161901
marin.product_template_2183,SHK Umeru 0.500kg,,Goods,marin.uom_uom_110,marin.uom_uom_110,0.0,730.0,0.0,0.5,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_127,product_unspsc.unspsc_code_10161527
marin.product_template_2184,SHK ZM 9-9 0.500kg,,Goods,marin.uom_uom_110,marin.uom_uom_110,0.0,730.0,0.0,0.5,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_130,product_unspsc.unspsc_code_10161527
marin.product_template_2185,SHK Zinc 19.3% 0.100kg,,Goods,marin.uom_uom_117,marin.uom_uom_117,0.0,0.0,0.0,0.1,1.0,,0.0,,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_130,product_unspsc.unspsc_code_10161527
marin.product_template_2186,SHK Zinc 19.3% 0.250kg,,Goods,marin.uom_uom_112,marin.uom_uom_112,0.0,305.0,0.0,0.25,1.0,,0.0,,,,True,,,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_130,product_unspsc.unspsc_code_10161527
marin.product_template_2187,SHK Zinc 19.3% 0.500kg,,Goods,marin.uom_uom_110,marin.uom_uom_110,0.0,720.0,0.0,0.5,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_130,product_unspsc.unspsc_code_10161527
marin.product_template_2188,Saathi 1L,,Goods,uom.product_uom_litre,uom.product_uom_litre,0.0,650.0,0.001,1.1,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_150,product_unspsc.unspsc_code_10171500
marin.product_template_2189,Sanazina 90 1kg,,Goods,uom.product_uom_kgm,uom.product_uom_kgm,0.0,160.0,0.001,1.0,1.0,,0.0,,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_150,product_unspsc.unspsc_code_10161900
marin.product_template_2190,Sanson OD 0.700L,,Goods,uom.product_uom_litre,uom.product_uom_litre,0.0,1150.0,0.001,1.1,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_149,product_unspsc.unspsc_code_10161900
marin.product_template_2191,Satorius 1L,,Goods,uom.product_uom_litre,uom.product_uom_litre,0.0,750.0,0.0,1.1,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_143,product_unspsc.unspsc_code_12142100
marin.product_template_2192,Scala SC600 1L,,Goods,uom.product_uom_litre,uom.product_uom_litre,0.0,700.0,0.001,1.1,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_137,product_unspsc.unspsc_code_10161901
marin.product_template_2193,Scenery 1kg,,Goods,uom.product_uom_kgm,uom.product_uom_kgm,0.0,450.0,0.001,1.0,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_134,product_unspsc.unspsc_code_10161901
marin.product_template_2194,Score 0.250L,,Goods,marin.uom_uom_143,marin.uom_uom_143,0.0,0.0,0.0,0.27,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_143,product_unspsc.unspsc_code_10161901
marin.product_template_2195,Score 1L,,Goods,uom.product_uom_litre,uom.product_uom_litre,0.0,2000.0,0.001,1.1,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_143,product_unspsc.unspsc_code_10161901
