id,name,company_id/id,country_id/id,advance_tax_payment_account_id/id,tax_payable_account_id/id,tax_receivable_account_id/id,sequence
marin.tax_group_1067_isr_10_0_retention_ammg,ISR 10.0% retention,marin.company_ammg,base.mx,,,,11
marin.tax_group_1068_isr_63_67_retention_ammg,ISR 63.67% retention,marin.company_ammg,base.mx,,,,11
marin.tax_group_1069_vat_0_0_ammg,VAT 0.0%,marin.company_ammg,base.mx,,,,11
marin.tax_group_1070_vat_16_0_ammg,VAT 16.0%,marin.company_ammg,base.mx,,,,11
marin.tax_group_1071_vat_8_0_ammg,VAT 8.0%,marin.company_ammg,base.mx,,,,11
marin.tax_group_1072_vat_exempt_ammg,VAT exempt,marin.company_ammg,base.mx,,,,11
marin.tax_group_1073_vat_1_25_retention_ammg,VAT 1.25% retention,marin.company_ammg,base.mx,,,,11
marin.tax_group_1074_vat_10_0_retention_ammg,VAT 10.0% retention,marin.company_ammg,base.mx,,,,11
marin.tax_group_1075_vat_10_67_retention_ammg,VAT 10.67% retention,marin.company_ammg,base.mx,,,,11
marin.tax_group_1076_vat_4_0_retention_ammg,VAT 4.0% retention,marin.company_ammg,base.mx,,,,11
marin.tax_group_1077_dsa_cfmg,DSA,marin.company_cfmg,base.mx,,,,10
marin.tax_group_1078_ieps_25_0_cfmg,IEPS 25.0%,marin.company_cfmg,base.mx,,,,11
marin.tax_group_1079_ieps_26_5_cfmg,IEPS 26.5%,marin.company_cfmg,base.mx,,,,11
marin.tax_group_1080_ieps_3_0_cfmg,IEPS 3.0%,marin.company_cfmg,base.mx,,,,10
marin.tax_group_1081_ieps_30_0_cfmg,IEPS 30.0%,marin.company_cfmg,base.mx,,,,11
marin.tax_group_1082_ieps_53_0_cfmg,IEPS 53.0%,marin.company_cfmg,base.mx,,,,11
marin.tax_group_1083_ieps_8_0_cfmg,IEPS 8.0%,marin.company_cfmg,base.mx,,,,11
marin.tax_group_1084_ieps_pesticides_cfmg,IEPS pesticides,marin.company_cfmg,base.mx,,,,11
marin.tax_group_1085_ish_cfmg,ISH,marin.company_cfmg,base.mx,,,,11
marin.tax_group_1086_isr_10_0_retention_cfmg,ISR 10.0% retention,marin.company_cfmg,base.mx,,,,11
marin.tax_group_1087_isr_63_67_retention_cfmg,ISR 63.67% retention,marin.company_cfmg,base.mx,,,,11
marin.tax_group_1088_vat_0_0_cfmg,VAT 0.0%,marin.company_cfmg,base.mx,,,,11
marin.tax_group_1089_vat_16_0_cfmg,VAT 16.0%,marin.company_cfmg,base.mx,,,,11
marin.tax_group_1090_vat_8_0_cfmg,VAT 8.0%,marin.company_cfmg,base.mx,,,,11
marin.tax_group_1091_vat_exempt_cfmg,VAT exempt,marin.company_cfmg,base.mx,,,,11
marin.tax_group_1092_vat_1_25_retention_cfmg,VAT 1.25% retention,marin.company_cfmg,base.mx,,,,11
marin.tax_group_1093_vat_10_0_retention_cfmg,VAT 10.0% retention,marin.company_cfmg,base.mx,,,,11
marin.tax_group_1094_vat_10_67_retention_cfmg,VAT 10.67% retention,marin.company_cfmg,base.mx,,,,11
marin.tax_group_1095_vat_4_0_retention_cfmg,VAT 4.0% retention,marin.company_cfmg,base.mx,,,,11
marin.tax_group_1096_dsa_glmm,DSA,marin.company_glmm,base.mx,,,,10
marin.tax_group_1097_ieps_25_0_glmm,IEPS 25.0%,marin.company_glmm,base.mx,,,,11
marin.tax_group_1098_ieps_26_5_glmm,IEPS 26.5%,marin.company_glmm,base.mx,,,,11
marin.tax_group_1099_ieps_3_0_glmm,IEPS 3.0%,marin.company_glmm,base.mx,,,,10
marin.tax_group_1100_ieps_30_0_glmm,IEPS 30.0%,marin.company_glmm,base.mx,,,,11
marin.tax_group_1101_ieps_53_0_glmm,IEPS 53.0%,marin.company_glmm,base.mx,,,,11
marin.tax_group_1102_ieps_8_0_glmm,IEPS 8.0%,marin.company_glmm,base.mx,,,,11
marin.tax_group_1103_ieps_pesticides_glmm,IEPS pesticides,marin.company_glmm,base.mx,,,,11
marin.tax_group_1104_ish_glmm,ISH,marin.company_glmm,base.mx,,,,11
marin.tax_group_1105_isr_10_0_retention_glmm,ISR 10.0% retention,marin.company_glmm,base.mx,,,,11
marin.tax_group_1106_isr_63_67_retention_glmm,ISR 63.67% retention,marin.company_glmm,base.mx,,,,11
marin.tax_group_1107_vat_0_0_glmm,VAT 0.0%,marin.company_glmm,base.mx,,,,11
marin.tax_group_1108_vat_16_0_glmm,VAT 16.0%,marin.company_glmm,base.mx,,,,11
marin.tax_group_1109_vat_8_0_glmm,VAT 8.0%,marin.company_glmm,base.mx,,,,11
marin.tax_group_1110_vat_exempt_glmm,VAT exempt,marin.company_glmm,base.mx,,,,11
marin.tax_group_1111_vat_1_25_retention_glmm,VAT 1.25% retention,marin.company_glmm,base.mx,,,,11
marin.tax_group_1112_vat_10_0_retention_glmm,VAT 10.0% retention,marin.company_glmm,base.mx,,,,11
marin.tax_group_1113_vat_10_67_retention_glmm,VAT 10.67% retention,marin.company_glmm,base.mx,,,,11
marin.tax_group_1114_vat_4_0_retention_glmm,VAT 4.0% retention,marin.company_glmm,base.mx,,,,11
marin.tax_group_1115_dsa_xm,DSA,marin.company_society,base.mx,,,,10
marin.tax_group_1116_ieps_25_0_xm,IEPS 25.0%,marin.company_society,base.mx,,,,11
marin.tax_group_1117_ieps_26_5_xm,IEPS 26.5%,marin.company_society,base.mx,,,,11
