id,account_prefix,analytic_distribution,company_id/id,product_id/id,vehicle_id/id
marin.analytic_distribution_model_1123,401.04.00,"{""1061"": 100.0}",marin.company_lmmr,marin.product_product_1326,
marin.analytic_distribution_model_1124,501.01.00,"{""1061"": 100.0}",marin.company_lmmr,marin.product_product_1326,
marin.analytic_distribution_model_1125,401.04.00,"{""1062"": 100.0}",marin.company_lmmr,marin.product_product_1329,
marin.analytic_distribution_model_1126,501.01.00,"{""1062"": 100.0}",marin.company_lmmr,marin.product_product_1329,
marin.analytic_distribution_model_1127,401.04.00,"{""1063"": 100.0}",marin.company_lmmr,marin.product_product_1330,
marin.analytic_distribution_model_1128,501.01.00,"{""1063"": 100.0}",marin.company_lmmr,marin.product_product_1330,
marin.analytic_distribution_model_1129,401.04.00,"{""1064"": 100.0}",marin.company_lmmr,marin.product_product_1339,
marin.analytic_distribution_model_1130,501.01.00,"{""1064"": 100.0}",marin.company_lmmr,marin.product_product_1339,
marin.analytic_distribution_model_1131,401.04.00,"{""1065"": 100.0}",marin.company_lmmr,marin.product_product_1341,
marin.analytic_distribution_model_1132,501.01.00,"{""1065"": 100.0}",marin.company_lmmr,marin.product_product_1341,
marin.analytic_distribution_model_1133,401.04.00,"{""1066"": 100.0}",marin.company_lmmr,marin.product_product_1342,
marin.analytic_distribution_model_1134,501.01.00,"{""1066"": 100.0}",marin.company_lmmr,marin.product_product_1342,
marin.analytic_distribution_model_1135,401.04.00,"{""1067"": 100.0}",marin.company_lmmr,marin.product_product_1343,
marin.analytic_distribution_model_1136,501.01.00,"{""1067"": 100.0}",marin.company_lmmr,marin.product_product_1343,
marin.analytic_distribution_model_1137,401.04.00,"{""1068"": 100.0}",marin.company_lmmr,marin.product_product_1344,
marin.analytic_distribution_model_1138,501.01.00,"{""1068"": 100.0}",marin.company_lmmr,marin.product_product_1344,
marin.analytic_distribution_model_1139,401.04.00,"{""1069"": 100.0}",marin.company_lmmr,marin.product_product_1345,
marin.analytic_distribution_model_1140,501.01.00,"{""1069"": 100.0}",marin.company_lmmr,marin.product_product_1345,
marin.analytic_distribution_model_1141,401.04.00,"{""1070"": 100.0}",marin.company_lmmr,marin.product_product_1349,
marin.analytic_distribution_model_1142,501.01.00,"{""1070"": 100.0}",marin.company_lmmr,marin.product_product_1349,
marin.analytic_distribution_model_1143,401.04.00,"{""1071"": 100.0}",marin.company_lmmr,marin.product_product_1351,
marin.analytic_distribution_model_1144,501.01.00,"{""1071"": 100.0}",marin.company_lmmr,marin.product_product_1351,
marin.analytic_distribution_model_1145,401.04.00,"{""1072"": 100.0}",marin.company_lmmr,marin.product_product_1353,
marin.analytic_distribution_model_1146,501.01.00,"{""1072"": 100.0}",marin.company_lmmr,marin.product_product_1353,
marin.analytic_distribution_model_1147,401.04.00,"{""1073"": 100.0}",marin.company_lmmr,marin.product_product_1354,
marin.analytic_distribution_model_1148,501.01.00,"{""1073"": 100.0}",marin.company_lmmr,marin.product_product_1354,
marin.analytic_distribution_model_1149,401.04.00,"{""1074"": 100.0}",marin.company_lmmr,marin.product_product_1358,
marin.analytic_distribution_model_1150,501.01.00,"{""1074"": 100.0}",marin.company_lmmr,marin.product_product_1358,
marin.analytic_distribution_model_1151,401.04.00,"{""1075"": 100.0}",marin.company_lmmr,marin.product_product_1359,
marin.analytic_distribution_model_1152,501.01.00,"{""1075"": 100.0}",marin.company_lmmr,marin.product_product_1359,
marin.analytic_distribution_model_1153,401.04.00,"{""1076"": 100.0}",marin.company_lmmr,marin.product_product_1360,
marin.analytic_distribution_model_1154,501.01.00,"{""1076"": 100.0}",marin.company_lmmr,marin.product_product_1360,
marin.analytic_distribution_model_1155,401.04.00,"{""1077"": 100.0}",marin.company_lmmr,marin.product_product_1364,
marin.analytic_distribution_model_1156,501.01.00,"{""1077"": 100.0}",marin.company_lmmr,marin.product_product_1364,
marin.analytic_distribution_model_1157,401.04.00,"{""1078"": 100.0}",marin.company_lmmr,marin.product_product_1373,
marin.analytic_distribution_model_1158,501.01.00,"{""1078"": 100.0}",marin.company_lmmr,marin.product_product_1373,
marin.analytic_distribution_model_1159,401.04.00,"{""1079"": 100.0}",marin.company_lmmr,marin.product_product_1376,
marin.analytic_distribution_model_1160,501.01.00,"{""1079"": 100.0}",marin.company_lmmr,marin.product_product_1376,
marin.analytic_distribution_model_1161,401.04.00,"{""1080"": 100.0}",marin.company_lmmr,marin.product_product_1377,
marin.analytic_distribution_model_1162,501.01.00,"{""1080"": 100.0}",marin.company_lmmr,marin.product_product_1377,
