id,tax_id/id,account_id/id,tag_ids/id
marin.tax_repartition_line_5128,marin.tax_1032_vat_exempt_lmmr,marin.account_118_01_001_lmmr,
marin.tax_repartition_line_5129,marin.tax_1033_vat_exempt_lmmr,,
marin.tax_repartition_line_5130,marin.tax_1033_vat_exempt_lmmr,marin.account_208_01_001_lmmr,
marin.tax_repartition_line_5131,marin.tax_1033_vat_exempt_lmmr,,
marin.tax_repartition_line_5132,marin.tax_1033_vat_exempt_lmmr,marin.account_208_01_001_lmmr,
marin.tax_repartition_line_5133,marin.tax_1034_vat_10_6667_retention_lmmr,,
marin.tax_repartition_line_5134,marin.tax_1034_vat_10_6667_retention_lmmr,,
marin.tax_repartition_line_5135,marin.tax_1034_vat_10_6667_retention_lmmr,,
marin.tax_repartition_line_5136,marin.tax_1034_vat_10_6667_retention_lmmr,,
marin.tax_repartition_line_5137,marin.tax_1035_vat_4_0_retention_freights_lmmr,,
marin.tax_repartition_line_5138,marin.tax_1035_vat_4_0_retention_freights_lmmr,,
marin.tax_repartition_line_5139,marin.tax_1035_vat_4_0_retention_freights_lmmr,,
marin.tax_repartition_line_5140,marin.tax_1035_vat_4_0_retention_freights_lmmr,,
marin.tax_repartition_line_5141,marin.tax_1036_dsa_5_0_601_lmmg,,
marin.tax_repartition_line_5142,marin.tax_1036_dsa_5_0_601_lmmg,marin.account_601_52_001_lmmg,
marin.tax_repartition_line_5143,marin.tax_1036_dsa_5_0_601_lmmg,,
marin.tax_repartition_line_5144,marin.tax_1036_dsa_5_0_601_lmmg,marin.account_601_52_001_lmmg,
marin.tax_repartition_line_5145,marin.tax_1037_dsa_5_0_602_lmmg,,
marin.tax_repartition_line_5146,marin.tax_1037_dsa_5_0_602_lmmg,marin.account_602_52_001_lmmg,
marin.tax_repartition_line_5147,marin.tax_1037_dsa_5_0_602_lmmg,,
marin.tax_repartition_line_5148,marin.tax_1037_dsa_5_0_602_lmmg,marin.account_602_52_001_lmmg,
marin.tax_repartition_line_5149,marin.tax_1038_ieps_26_5_lmmg,,
marin.tax_repartition_line_5150,marin.tax_1038_ieps_26_5_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5151,marin.tax_1038_ieps_26_5_lmmg,,
marin.tax_repartition_line_5152,marin.tax_1038_ieps_26_5_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5153,marin.tax_1039_ieps_3_0_telecom_602_lmmg,,
marin.tax_repartition_line_5154,marin.tax_1039_ieps_3_0_telecom_602_lmmg,marin.account_602_50_001_lmmg,
marin.tax_repartition_line_5155,marin.tax_1039_ieps_3_0_telecom_602_lmmg,,
marin.tax_repartition_line_5156,marin.tax_1039_ieps_3_0_telecom_602_lmmg,marin.account_602_50_001_lmmg,
marin.tax_repartition_line_5157,marin.tax_1040_ieps_53_0_lmmg,,
marin.tax_repartition_line_5158,marin.tax_1040_ieps_53_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5159,marin.tax_1040_ieps_53_0_lmmg,,
marin.tax_repartition_line_5160,marin.tax_1040_ieps_53_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5161,marin.tax_1041_ieps_8_0_lmmg,,
marin.tax_repartition_line_5162,marin.tax_1041_ieps_8_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5163,marin.tax_1041_ieps_8_0_lmmg,,
marin.tax_repartition_line_5164,marin.tax_1041_ieps_8_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5165,marin.tax_1042_ieps_0_0_lmmg,,
marin.tax_repartition_line_5166,marin.tax_1042_ieps_0_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5167,marin.tax_1042_ieps_0_0_lmmg,,
marin.tax_repartition_line_5168,marin.tax_1042_ieps_0_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5169,marin.tax_1043_ieps_6_0_lmmg,,
marin.tax_repartition_line_5170,marin.tax_1043_ieps_6_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5171,marin.tax_1043_ieps_6_0_lmmg,,
marin.tax_repartition_line_5172,marin.tax_1043_ieps_6_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5173,marin.tax_1044_ieps_6_0_lmmg,,
marin.tax_repartition_line_5174,marin.tax_1044_ieps_6_0_lmmg,marin.account_208_02_001_lmmg,
marin.tax_repartition_line_5175,marin.tax_1044_ieps_6_0_lmmg,,
marin.tax_repartition_line_5176,marin.tax_1044_ieps_6_0_lmmg,marin.account_208_02_001_lmmg,
marin.tax_repartition_line_5177,marin.tax_1045_ieps_7_0_lmmg,,
marin.tax_repartition_line_5178,marin.tax_1045_ieps_7_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5179,marin.tax_1045_ieps_7_0_lmmg,,
marin.tax_repartition_line_5180,marin.tax_1045_ieps_7_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5181,marin.tax_1046_ieps_7_0_lmmg,,
marin.tax_repartition_line_5182,marin.tax_1046_ieps_7_0_lmmg,marin.account_208_02_001_lmmg,
marin.tax_repartition_line_5183,marin.tax_1046_ieps_7_0_lmmg,,
marin.tax_repartition_line_5184,marin.tax_1046_ieps_7_0_lmmg,marin.account_208_02_001_lmmg,
marin.tax_repartition_line_5185,marin.tax_1047_ieps_9_0_lmmg,,
marin.tax_repartition_line_5186,marin.tax_1047_ieps_9_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5187,marin.tax_1047_ieps_9_0_lmmg,,
marin.tax_repartition_line_5188,marin.tax_1047_ieps_9_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5189,marin.tax_1048_ieps_9_0_lmmg,,
marin.tax_repartition_line_5190,marin.tax_1048_ieps_9_0_lmmg,marin.account_208_02_001_lmmg,
marin.tax_repartition_line_5191,marin.tax_1048_ieps_9_0_lmmg,,
marin.tax_repartition_line_5192,marin.tax_1048_ieps_9_0_lmmg,marin.account_208_02_001_lmmg,
marin.tax_repartition_line_5193,marin.tax_1049_ieps_exempt_lmmg,,
marin.tax_repartition_line_5194,marin.tax_1049_ieps_exempt_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5195,marin.tax_1049_ieps_exempt_lmmg,,
marin.tax_repartition_line_5196,marin.tax_1049_ieps_exempt_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5197,marin.tax_1050_ish_2_0_602_lmmg,,
marin.tax_repartition_line_5198,marin.tax_1050_ish_2_0_602_lmmg,marin.account_602_49_001_lmmg,
marin.tax_repartition_line_5199,marin.tax_1050_ish_2_0_602_lmmg,,
marin.tax_repartition_line_5200,marin.tax_1050_ish_2_0_602_lmmg,marin.account_602_49_001_lmmg,
marin.tax_repartition_line_5201,marin.tax_1051_ish_3_0_602_lmmg,,
marin.tax_repartition_line_5202,marin.tax_1051_ish_3_0_602_lmmg,marin.account_602_49_001_lmmg,
marin.tax_repartition_line_5203,marin.tax_1051_ish_3_0_602_lmmg,,
marin.tax_repartition_line_5204,marin.tax_1051_ish_3_0_602_lmmg,marin.account_602_49_001_lmmg,
marin.tax_repartition_line_5205,marin.tax_1052_ish_3_5_602_lmmg,,
marin.tax_repartition_line_5206,marin.tax_1052_ish_3_5_602_lmmg,marin.account_602_49_001_lmmg,
marin.tax_repartition_line_5207,marin.tax_1052_ish_3_5_602_lmmg,,
marin.tax_repartition_line_5208,marin.tax_1052_ish_3_5_602_lmmg,marin.account_602_49_001_lmmg,
marin.tax_repartition_line_5209,marin.tax_1053_ish_4_0_602_lmmg,,
marin.tax_repartition_line_5210,marin.tax_1053_ish_4_0_602_lmmg,marin.account_602_49_001_lmmg,
marin.tax_repartition_line_5211,marin.tax_1053_ish_4_0_602_lmmg,,
marin.tax_repartition_line_5212,marin.tax_1053_ish_4_0_602_lmmg,marin.account_602_49_001_lmmg,
