id,company_id/id,currency_id/id,tag_ids/id,name,code,account_type,reconcile,create_asset,deprecated,opening_credit,opening_debit,opening_balance
marin.account_401_04_016_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Sales 0% NFX,401.04.016,Income,,No,,,,
marin.account_401_04_017_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Sales NF discounts for payment in kind,401.04.017,Cost of Revenue,,No,,,,
marin.account_401_04_018_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Sales NF discounts for payment in FX multi company,401.04.018,Cost of Revenue,,No,,,,
marin.account_401_22_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Rental income FF,401.22.001,Income,,No,,,,
marin.account_401_22_002_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Rental income NF,401.22.002,Income,,No,,,,
marin.account_501_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Cost of sales FF,501.01.001,Cost of Revenue,,No,,,,
marin.account_501_01_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Cost of sales NF,501.01.002,Cost of Revenue,,No,,,,
marin.account_501_01_003_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Cost of sales FX,501.01.003,Cost of Revenue,,No,,,,
marin.account_503_01_005_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Purchase discounts for payment in kind NF,503.01.005,Other Income,,No,,,,
marin.account_503_01_007_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Purchase discounts due payment in LMMG,503.01.007,Other Income,,No,,,,
marin.account_504_08_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Machinery and equipment depreciation FF,504.08.001,Depreciation,,No,,,,
marin.account_504_08_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Machinery and equipment depreciation NF,504.08.002,Depreciation,,No,,,,
marin.account_504_09_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,"Automobiles, buses and trucks depreciation FF",504.09.001,Depreciation,,No,,,,
marin.account_504_09_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,"Automobiles, buses and trucks depreciation NF",504.09.002,Depreciation,,No,,,,
marin.account_504_10_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Furniture and office equipment depreciation FF,504.10.001,Depreciation,,No,,,,
marin.account_504_10_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Furniture and office equipment depreciation NF,504.10.002,Depreciation,,No,,,,
marin.account_504_11_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Computing equipment depreciation FF,504.11.001,Depreciation,,No,,,,
marin.account_504_12_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Communications equipment depreciation FF,504.12.001,Depreciation,,No,,,,
marin.account_504_14_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Land depreciation FF,504.14.001,Depreciation,,No,,,,
marin.account_504_14_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Land depreciation NF,504.14.002,Depreciation,,No,,,,
marin.account_601_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Wages and salaries FF,601.01.001,Expenses,,No,,,,
marin.account_601_01_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Wages and salaries NF,601.01.002,Expenses,,No,,,,
marin.account_601_06_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Vacations FF,601.06.001,Expenses,,No,,,,
marin.account_601_06_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Vacations NF,601.06.002,Expenses,,No,,,,
marin.account_601_07_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Vacation bonus FF,601.07.001,Expenses,,No,,,,
marin.account_601_07_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Vacation bonus NF,601.07.002,Expenses,,No,,,,
marin.account_601_12_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Christmas bonus FF,601.12.001,Expenses,,No,,,,
marin.account_601_12_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Christmas bonus NF,601.12.002,Expenses,,No,,,,
marin.account_601_15_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Personal pantry FF,601.15.001,Expenses,,No,,,,
marin.account_601_15_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Personal pantry NF,601.15.002,Expenses,,No,,,,
marin.account_601_16_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Transportation FF,601.16.001,Expenses,,No,,,,
marin.account_601_16_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Transportation NF,601.16.002,Expenses,,No,,,,
marin.account_601_17_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Medical services FF,601.17.001,Expenses,,No,,,,
marin.account_601_17_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Medical services NF,601.17.002,Expenses,,No,,,,
marin.account_601_26_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Employer's social security contributions FF,601.26.001,Expenses,,No,,,,
marin.account_601_34_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Fees to individuals FF,601.34.001,Expenses,,No,,,,
