"id","category_id/id","unspsc_code_id/id","active","factor","rounding","uom_type","name"
"uom_uom_101","uom.product_uom_categ_unit","product_unspsc.unspsc_code_ZZ","True","1.0","0.01","Smaller than the reference Unit of measure","Mutuamente definido"
"uom_uom_102","l10n_mx.product_uom_categ_service","product_unspsc.unspsc_code_E48","True","1.0","0.01","Smaller than the reference Unit of measure","Service unit"
"uom_uom_103","uom.product_uom_categ_unit","product_unspsc.unspsc_code_SX","True","1.0","0.01","Smaller than the reference Unit of measure","Shipment"
"uom_uom_104","l10n_mx.product_uom_categ_service","product_unspsc.unspsc_code_ACT","True","1.0","0.01","Smaller than the reference Unit of measure","Activity"
"uom_uom_105","uom.product_uom_categ_unit","product_unspsc.unspsc_code_XBX","True","1.0","0.01","Smaller than the reference Unit of measure","Box"
"uom_uom_106","uom.product_uom_categ_unit","product_unspsc.unspsc_code_XNA","True","1.0","0.01","Smaller than the reference Unit of measure","Not available"
"uom_uom_107","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_H87","True","1.25","0.01","Smaller than the reference Unit of measure","0.800kg"
"uom_uom_108","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_H87","True","1.356852","0.01","Smaller than the reference Unit of measure","0.737kg"
"uom_uom_109","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_H87","True","1.666667","0.01","Smaller than the reference Unit of measure","0.600kg"
"uom_uom_110","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_H87","True","2.0","0.01","Smaller than the reference Unit of measure","0.500kg"
"uom_uom_111","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_H87","True","3.333333","0.01","Smaller than the reference Unit of measure","0.300kg"
"uom_uom_112","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_H87","True","4.0","0.01","Smaller than the reference Unit of measure","0.250kg"
"uom_uom_113","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_H87","True","4.716981","0.01","Smaller than the reference Unit of measure","0.212kg"
