id,currency_id/id,name,code,account_type,reconcile,create_asset,deprecated,opening_credit,opening_debit,opening_balance,tag_ids/id,company_ids/id
account_1075_401_04_003,,Sales 0% FX - discounts on sales NF due collection in FX,401.04.003,Income,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1076_401_04_004,,Sales 0% FX - discounts on sales NF LMMR,401.04.004,Income,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr"
account_1077_401_04_005,,Sales 0% FX - self cash trade --> self bank,401.04.005,Income,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr"
account_1078_401_04_006,,Sales 0% FX - multicompany cash trade --> self bank,401.04.006,Income,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1079_401_04_007,,Sales 0% FX - self bank trade --> self cash to thirth parties,401.04.007,Income,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr"
account_1080_401_04_008,,Sales 0% FX - self bank trade --> multicompany cash to thirth parties,401.04.008,Income,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr"
account_1081_401_04_009_lmmr,,Sales 0% FX - bank trade LMMG --> bank LMMR,401.04.009,Income,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,marin_data.company_lmmr
account_1082_401_04_012_lmmr,,Sales 0% FX - bank trade GLMM --> bank LMMR,401.04.012,Income,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,marin_data.company_lmmr
account_1083_401_04_013,,Sales 0% FX - without invoice without discount on sales NF,401.04.013,Income,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1084_401_04_014,,Sales 0% FX - without invoice with discount on sales NF,401.04.014,Income,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr"
account_1085_401_04_015,,Sales 0% FX - with invoice without discount on sales NF,401.04.015,Income,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr"
account_1086_401_04_016,,Sales 0% NX,401.04.016,Income,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1087_401_04_017,,Sales 0% NF discounts from collection in kind,401.04.017,Cost of Revenue,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1088_401_04_018,,Sales 0% NF discounts from collection FX multicompany,401.04.018,Cost of Revenue,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1089_401_22_001,,Rental income FF,401.22.001,Income,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1090_401_22_002,,Rental income NF,401.22.002,Income,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1091_501_01_001,,Cost of sales FF,501.01.001,Cost of Revenue,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1092_501_01_002,,Cost of sales NF,501.01.002,Cost of Revenue,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1093_501_01_003,,Cost of sales FX,501.01.003,Cost of Revenue,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1094_503_01_005,,Purchase discounts for payment in kind NF,503.01.005,Other Income,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1095_503_01_007_lmmr,,Purchase discounts due payment in LMMG,503.01.007,Other Income,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,marin_data.company_lmmr
account_1096_504_08_001,,Machinery and equipment depreciation FF,504.08.001,Depreciation,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1097_504_08_002,,Machinery and equipment depreciation NF,504.08.002,Depreciation,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
