"id","company_id/id","previous_bom_id/id","product_tmpl_id/id","product_uom_id/id","code","product_qty","type","ready_to_produce","consumption","sequence","active","bom_line_ids/id","bom_line_ids/product_id/id","bom_line_ids/product_uom_id/id","bom_line_ids/product_qty","bom_line_ids/manual_consumption","bom_line_ids/sequence"
"","","","","","","","","","","","","bom_line_1112","marin_data.product_product_2329","uom.product_uom_unit","1.5","","8"
"bom_1013","marin_data.company_lmmg","","marin_data.product_template_1543","marin.uom_uom_133","Refill Ferti Beet XM 6x2Kg 200","100.0","Manufacture this product"," When all components are available","Allowed with warning","6","True","bom_line_1113","marin_data.product_product_1309","uom.product_uom_kgm","200.0","","5"
"","","","","","","","","","","","","bom_line_1114","marin_data.product_product_1542","uom.product_uom_kgm","0.0","True","6"
"","","","","","","","","","","","","bom_line_1115","marin_data.product_product_1731","uom.product_uom_unit","100.0","","7"
"","","","","","","","","","","","","bom_line_1116","marin_data.product_product_1131","uom.product_uom_unit","17.0","","8"
"","","","","","","","","","","","","bom_line_1117","marin_data.product_product_1501","uom.product_uom_unit","17.0","","9"
"","","","","","","","","","","","","bom_line_1118","marin_data.product_product_2329","uom.product_uom_unit","0.5","","10"
"bom_1014","marin_data.company_lmmg","","marin_data.product_template_1576","uom.product_uom_litre","Refill Fortexyl XM 12x1L 1000","1000.0","Manufacture this product"," When all components are available","Allowed with warning","7","True","bom_line_1119","marin_data.product_product_1805","uom.product_uom_litre","1000.0","True","1"
"","","","","","","","","","","","","bom_line_1120","marin_data.product_product_1868","uom.product_uom_unit","1000.0","","2"
"","","","","","","","","","","","","bom_line_1121","marin_data.product_product_1665","uom.product_uom_unit","1000.0","","3"
"","","","","","","","","","","","","bom_line_1122","marin_data.product_product_1126","uom.product_uom_unit","1000.0","","4"
"","","","","","","","","","","","","bom_line_1123","marin_data.product_product_1132","uom.product_uom_unit","83.0","","5"
"","","","","","","","","","","","","bom_line_1124","marin_data.product_product_1501","uom.product_uom_unit","83.0","","6"
"","","","","","","","","","","","","bom_line_1125","marin_data.product_product_2329","uom.product_uom_unit","2.0","","7"
"bom_1015","marin_data.company_lmmg","","marin_data.product_template_1661","uom.product_uom_kgm","Refill Ingenux 80 XM 8x1Kg 1000","1000.0","Manufacture this product"," When all components are available","Allowed with warning","8","True","bom_line_1126","marin_data.product_product_1604","uom.product_uom_kgm","1000.0","True","1"
"","","","","","","","","","","","","bom_line_1127","marin_data.product_product_1732","uom.product_uom_unit","1000.0","","2"
"","","","","","","","","","","","","bom_line_1283","marin_data.product_product_1502","uom.product_uom_unit","84.0","","4"
"","","","","","","","","","","","","bom_line_1128","marin_data.product_product_2112","uom.product_uom_unit","84.0","","5"
