id,name,type,code,sequence,color,active,show_on_dashboard,refund_sequence,payment_sequence,x_treatment,company_id/id,currency_id/id,default_account_id/id,default_payable_account_id/id,default_receivable_account_id/id,default_refund_account_id/id,loss_account_id/id,profit_account_id/id,suspense_account_id/id,account_control_ids/id,user_can_access_ids/id,journal_group_ids/id
journal_msc02_lmmr,Miscellaneous operations NF,Miscellaneous,MSC02,134,0,True,,,,Not Fiscal real,marin_data.company_lmmr,,,,,,,,,"marin_data.account_101_01_001_lmmr,marin_data.account_101_01_005_lmmr,marin_data.account_101_01_007_lmmr,marin_data.account_107_01_002,marin_data.account_201_01_002,marin_data.account_252_07_001,marin_data.account_302_01_002,marin_data.account_401_04_002,marin_data.account_401_04_003",,marin_data.journal_group_2
journal_nom01_lmmr,Employees FF,Miscellaneous,NOM01,138,1,True,,,,Fiscal real,marin_data.company_lmmr,,marin_data.account_210_01_001,,,,,,,"marin_data.account_101_01_001_lmmr,marin_data.account_113_06_001,marin_data.account_119_03_001,marin_data.account_210_01_001,marin_data.account_216_01_001,marin_data.account_216_11_001,marin_data.account_601_01_001,marin_data.account_601_07_001,marin_data.account_601_12_001,marin_data.account_602_01_001,marin_data.account_602_02_001,marin_data.account_602_07_001,marin_data.account_602_12_001,marin_data.account_602_26_001,marin_data.account_603_01_001,marin_data.account_603_83_008,marin_data.account_704_23_001",,
journal_nom02_lmmr,Employees NF,Miscellaneous,NOM02,140,1,True,,,,Not Fiscal real,marin_data.company_lmmr,,marin_data.account_210_01_001,,,,,,,"marin_data.account_101_01_001_lmmr,marin_data.account_107_01_002,marin_data.account_302_01_002,marin_data.account_601_01_002,marin_data.account_601_07_002,marin_data.account_601_12_002,marin_data.account_601_49_002,marin_data.account_602_01_002,marin_data.account_602_02_002,marin_data.account_602_06_002,marin_data.account_602_07_002,marin_data.account_602_10_002,marin_data.account_602_12_002,marin_data.account_602_19_002,marin_data.account_602_25_002,marin_data.account_602_48_002,marin_data.account_602_49_002,marin_data.account_602_56_002,marin_data.account_602_62_002,marin_data.account_602_74_002,marin_data.account_602_77_002,marin_data.account_602_84_002,marin_data.account_603_01_002,marin_data.account_603_06_002,marin_data.account_603_07_002,marin_data.account_603_12_002,marin_data.account_603_16_002,marin_data.account_603_19_002,marin_data.account_603_25_002,marin_data.account_603_49_002,marin_data.account_603_55_002",,marin_data.journal_group_2
journal_tpv00_lmmr,POS CDG,Miscellaneous,TPV00,142,0,True,,,,Not Fiscal real,marin_data.company_lmmr,,marin_data.account_401_04_002,,,,,,,,,marin_data.journal_group_2
journal_tpv01_lmmr,POS BAL,Miscellaneous,TPV01,143,0,True,,,,Not Fiscal real,marin_data.company_lmmr,,marin_data.account_401_04_002,,,,,,,"marin_data.account_105_01_002,marin_data.account_401_04_002",,marin_data.journal_group_2
journal_tpv02_lmmr,POS SJN,Miscellaneous,TPV02,144,0,True,,,,Not Fiscal real,marin_data.company_lmmr,,marin_data.account_401_04_002,,,,,,,"marin_data.account_105_01_002,marin_data.account_401_04_002",,marin_data.journal_group_2
journal_trr01_lmmr,Lands FF,Miscellaneous,TRR01,146,0,True,,,,Fiscal real,marin_data.company_lmmr,,,,,,,,,,,
journal_trr02_lmmr,Lands NF,Miscellaneous,TRR02,150,0,True,,,,Not Fiscal real,marin_data.company_lmmr,,,,,,,,,,,marin_data.journal_group_2
journal_efc01_tjgl,Cash Main,Cash,EFC01,16,0,True,True,,,Not Fiscal real,marin_data.company_tjgl,,marin_data.account_101_01_001_tjgl,marin_data.account_201_01_002,marin_data.account_105_01_002,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,,,
journal_efc02_tjgl,Cash USD,Cash,EFC02,23,10,True,,,,Not Fiscal real,marin_data.company_tjgl,base.USD,marin_data.account_101_01_003_tjgl,,,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,,,
journal_bnc01_tjgl,Bank BBVA 0463866521,Bank,BNC01,11,0,True,True,,,Fiscal real,marin_data.company_tjgl,,marin_data.account_102_01_001_tjgl,marin_data.account_201_01_001,marin_data.account_105_01_001,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,,,
journal_bnc02_tjgl,Bank BBVA Payroll,Bank,BNC02,80,0,True,True,,,Fiscal real,marin_data.company_tjgl,,marin_data.account_102_01_010_tjgl,,,,,,marin_data.account_102_01_000,,,
journal_bnc03_tjgl,Bank Banamex,Bank,BNC03,80,0,True,True,,,Fiscal real,marin_data.company_tjgl,,marin_data.account_102_01_010_tjgl,,,,,,marin_data.account_102_01_000,,,
journal_pex_tjgl,Foreign suppliers FF,Purchase,PEX,58,0,True,True,True,,Fiscal real,marin_data.company_tjgl,,marin_data.account_501_01_001,marin_data.account_201_02_001,,,,,,,,
journal_pf_tjgl,Suppliers FF,Purchase,PF,60,0,True,True,True,,Fiscal real,marin_data.company_tjgl,,marin_data.account_501_01_001,marin_data.account_201_01_001,,,,,,,,
journal_pn_tjgl,Suppliers NF,Purchase,PN,70,0,True,True,True,,Not Fiscal real,marin_data.company_tjgl,,marin_data.account_501_01_002,marin_data.account_201_01_002,,,,,,,,
journal_pnx_tjgl,Suppliers NX,Purchase,PNX,75,0,True,True,True,,Not Fiscal simulated,marin_data.company_tjgl,,marin_data.account_501_01_002,marin_data.account_201_01_002,,,,,,,,
journal_px_tjgl,Suppliers FX,Purchase,PX,65,0,True,True,True,,Fiscal simulated,marin_data.company_tjgl,,marin_data.account_501_01_003,marin_data.account_201_01_001,,,,,,,,
journal_cf_tjgl,Customers FF,Sales,CF,41,0,True,True,True,,Fiscal real,marin_data.company_tjgl,,marin_data.account_401_04_001,marin_data.account_105_01_001,marin_data.account_105_01_001,,,,,,,
journal_cn_tjgl,Customers NF,Sales,CN,43,0,True,True,True,,Not Fiscal real,marin_data.company_tjgl,,marin_data.account_401_04_002,marin_data.account_105_01_002,marin_data.account_105_01_002,,,,,,,
journal_cx_tjgl,Customers FX,Sales,CX,52,0,True,True,True,,Not Fiscal real,marin_data.company_tjgl,,marin_data.account_401_04_013,marin_data.account_105_01_001,marin_data.account_105_01_001,,,,,,,
journal_caba1_tjgl,Tax declarations FF,Miscellaneous,CABA1,117,0,True,True,,,Fiscal real,marin_data.company_tjgl,,,,,,,,,,,
journal_cbmx1_tjgl,Effectively paid FF,Miscellaneous,CBMX1,112,0,True,True,,,Not Fiscal real,marin_data.company_tjgl,,,,,,,,,,,
journal_exc01_tjgl,Exchange difference FF,Miscellaneous,EXC01,122,0,True,True,,,Fiscal real,marin_data.company_tjgl,,,,,,,,,,,
journal_msc01_tjgl,Miscellaneous operations FF,Miscellaneous,MSC01,131,0,True,True,,,Fiscal real,marin_data.company_tjgl,,,,,,,,,,,
journal_msc02_tjgl,Miscellaneous operations NF,Miscellaneous,MSC02,135,0,True,True,,,Fiscal real,marin_data.company_tjgl,,,,,,,,,,,
journal_trr01_tjgl,Lands FF,Miscellaneous,TRR01,147,0,True,True,,,Fiscal real,marin_data.company_tjgl,,,,,,,,,,,
journal_trr02_tjgl,Lands NF,Miscellaneous,TRR02,149,0,True,True,,,Not Fiscal real,marin_data.company_tjgl,,,,,,,,,,,
