id,name,is_storable,type,standard_price,list_price,volume,weight,base_unit_count,barcode,x_dose_x_ha,active,available_in_pos,can_be_expensed,purchase_ok,sale_ok,is_published,allow_out_of_stock_order,tracking,invoice_policy,bill_policy,manufacturer_pref,uom_id/id,categ_id/id,unspsc_code_id/id,manufacturer_id/id,supplier_taxes_id/id,product_tag_ids/id,pos_categ_ids/id
product_template_1421,Carbon activado,True,Goods,1.0,10.0,0.0,0.0,1.0,,0.0,,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,product.product_category_goods,,,,,
product_template_1422,Carboxy K 1x10L,True,Goods,1.0,2000.0,0.0,11.0,1.0,,0.0,,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_128,marin_data.product_category_165,product_unspsc.unspsc_code_10171500,marin_data.manufacturer_innovak_global,,,
product_template_1423,Carboxy L 1x10L,True,Goods,1.0,2000.0,0.0,11.0,1.0,,0.0,,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_128,marin_data.product_category_165,product_unspsc.unspsc_code_10171500,marin_data.manufacturer_innovak_global,,,
product_template_1424,Carial Flex 0.500kg,True,Goods,461.14,1900.0,0.0,0.5,1.0,,0.0,True,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,62311,marin_data.uom_148,marin_data.product_category_158,product_unspsc.unspsc_code_10171702,marin_data.manufacturer_syngenta,,"marin_data.product_tag_36,marin_data.product_tag_92",marin_data.pos_category_109
product_template_1425,Carial Flex 1kg,True,Goods,878.36,3700.0,0.001,1.0,1.0,,0.0,True,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,60846,uom.product_uom_kgm,marin_data.product_category_158,product_unspsc.unspsc_code_10171702,marin_data.manufacturer_syngenta,,"marin_data.product_tag_36,marin_data.product_tag_92",marin_data.pos_category_109
product_template_1426,Carnauba T-1,True,Goods,1.0,0.0,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin_data.product_category_124,,,,,
product_template_1427,Carnauba T-3,True,Goods,1.0,0.0,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin_data.product_category_124,,,,,
product_template_1428,Castor 1L,True,Goods,201.25,350.0,0.0,1.0,1.0,,0.0,,,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,uom.product_uom_litre,marin_data.product_category_144,product_unspsc.unspsc_code_10191509,marin_data.manufacturer_versa,,marin_data.product_tag_41,marin_data.pos_category_105
product_template_1429,Cazador Agro 0.950L,True,Goods,148.63,250.0,0.0,1.0,1.0,,0.0,True,,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_120,marin_data.product_category_144,product_unspsc.unspsc_code_10191509,marin_data.manufacturer_versa,"marin_data.tax_1029_vat_0_0_lmmr,marin_data.tax_1017_ieps_9_0_lmmr",marin_data.product_tag_43,marin_data.pos_category_105
product_template_1430,Cazador Agro 1x5L,True,Goods,718.4,1200.0,0.0,5.0,1.0,,0.0,True,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_126,marin_data.product_category_144,product_unspsc.unspsc_code_10191509,marin_data.manufacturer_versa,,marin_data.product_tag_43,marin_data.pos_category_105
product_template_1431,Cebolla 1kg,True,Goods,1.0,8.0,0.001,1.0,1.0,,0.0,,,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_kgm,marin_data.product_category_102,product_unspsc.unspsc_code_50375007,,,,
product_template_1432,Cedrus 120 0.500L,True,Goods,320.0,400.0,0.0,0.55,1.0,,0.0,True,,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_117,marin_data.product_category_138,product_unspsc.unspsc_code_10171700,marin_data.manufacturer_versa,,marin_data.product_tag_29,
product_template_1433,Celeste 1L,True,Goods,123.66,235.0,0.001,1.1,1.0,,0.0,True,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,uom.product_uom_litre,marin_data.product_category_157,product_unspsc.unspsc_code_10171702,marin_data.manufacturer_versa,"marin_data.tax_1029_vat_0_0_lmmr,marin_data.tax_1013_ieps_6_0_lmmr",marin_data.product_tag_26,marin_data.pos_category_109
product_template_1434,Celeste 1x10L,True,Goods,1495.0,2300.0,0.0,11.0,1.0,,0.0,True,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_128,marin_data.product_category_157,product_unspsc.unspsc_code_10171702,marin_data.manufacturer_versa,"marin_data.tax_1029_vat_0_0_lmmr,marin_data.tax_1013_ieps_6_0_lmmr",marin_data.product_tag_26,marin_data.pos_category_109
product_template_1435,Celeste 1x50L,True,Goods,1.0,0.0,0.0,0.0,1.0,,0.0,,True,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin_data.product_category_157,product_unspsc.unspsc_code_10171702,marin_data.manufacturer_versa,,,
product_template_1436,Centauro 1x10L,True,Goods,1.0,1400.0,0.0,11.0,1.0,,0.0,,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_128,marin_data.product_category_157,product_unspsc.unspsc_code_10171702,marin_data.partner_5333,,,
product_template_1437,Centurion Ultra 1kg,True,Goods,402.07,603.0,0.001,1.0,1.0,,0.0,,,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,uom.product_uom_kgm,marin_data.product_category_144,product_unspsc.unspsc_code_10191509,marin_data.manufacturer_versa,,marin_data.product_tag_3,marin_data.pos_category_105
product_template_1438,Cercobin-M 0.200kg,True,Goods,1.0,140.0,0.0,0.2,1.0,,0.0,,,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_143,marin_data.product_category_151,product_unspsc.unspsc_code_10171702,marin_data.manufacturer_basf,,marin_data.product_tag_160,
product_template_1439,Cercobin-M 1kg,True,Goods,464.0,600.0,0.001,1.0,1.0,,0.0,True,,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,uom.product_uom_kgm,marin_data.product_category_151,product_unspsc.unspsc_code_10171702,marin_data.manufacturer_basf,,marin_data.product_tag_160,marin_data.pos_category_103
product_template_1440,Cerillo 0.900L,True,Goods,72.87,160.0,0.0,1.0,1.0,,0.0,True,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,32732,marin_data.uom_119,marin_data.product_category_136,product_unspsc.unspsc_code_10171700,marin_data.manufacturer_syngenta,,marin_data.product_tag_114,marin_data.pos_category_104
product_template_1441,Chamarra Xiuman grande,True,Goods,1.0,1.0,0.0,0.0,1.0,,0.0,True,,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin_data.product_category_117,,,,,
product_template_1442,Chamarra Xiuman xgrande,True,Goods,1.0,1.0,0.0,0.0,1.0,,0.0,True,,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin_data.product_category_117,,,,,
product_template_1443,Chamarra chica,True,Goods,1.0,1.0,0.0,0.0,1.0,,0.0,True,,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin_data.product_category_117,,,,,
product_template_1444,Chamarra mediana,True,Goods,1.0,1.0,0.0,0.0,1.0,,0.0,True,,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin_data.product_category_117,,,,,
product_template_1445,Chamarra talla 12,True,Goods,1.0,1.0,0.0,0.0,1.0,,0.0,True,,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin_data.product_category_117,,,,,
product_template_1446,Chamarra talla 6,True,Goods,1.0,1.0,0.0,0.0,1.0,,0.0,True,,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin_data.product_category_117,,,,,
product_template_1447,Champion 1x10kg,True,Goods,1.0,1.0,0.0,10.0,1.0,,0.0,,,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,marin_data.uom_160,fleet.product_category_vehicle_others,,,,,
product_template_1448,Chapoleo 1L,True,Goods,1.0,0.0,0.001,1.1,1.0,,0.0,,True,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_litre,marin_data.product_category_137,product_unspsc.unspsc_code_10161900,marin_data.manufacturer_cheminova,,,
product_template_1449,Chapon 101 0.950L,True,Goods,160.0,1.0,0.0,0.0,1.0,,0.0,,,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_120,marin_data.product_category_139,,marin_data.manufacturer_agroterrum,,"marin_data.product_tag_1,marin_data.product_tag_121",
product_template_1450,Chimal 0.250kg,True,Goods,366.74,900.0,0.0,0.25,1.0,,0.0,True,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_145,marin_data.product_category_146,product_unspsc.unspsc_code_10191509,marin_data.manufacturer_versa,,marin_data.product_tag_113,marin_data.pos_category_105
product_template_1451,Chimal 0.500 kg,True,Goods,670.0,1600.0,0.0,0.51,1.0,,0.0,True,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_148,marin_data.product_category_146,product_unspsc.unspsc_code_10171702,marin_data.manufacturer_versa,,marin_data.product_tag_113,marin_data.pos_category_105
product_template_1452,Chlorban 0.970L,True,Goods,133.0,260.0,0.0,1.0,1.0,,0.0,,,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_122,marin_data.product_category_144,product_unspsc.unspsc_code_10191509,marin_data.manufacturer_upl,,marin_data.product_tag_27,
product_template_1453,Chlorban 5%G 1x20kg,True,Goods,299.0,480.0,0.0,20.0,1.0,,0.0,,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_163,marin_data.product_category_146,product_unspsc.unspsc_code_10191509,marin_data.manufacturer_upl,,marin_data.product_tag_27,marin_data.pos_category_105
product_template_1454,Chlorotalonil TC 98% 1x25kg,True,Goods,1665.84,1.0,0.0,25.0,1.0,,0.0,True,,,True,,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_164,marin_data.product_category_126,,,,,
product_template_1455,Chronos Life 1L,True,Goods,1.0,0.0,0.001,1.1,1.0,,0.0,,True,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_litre,marin_data.product_category_160,product_unspsc.unspsc_code_10171500,marin_data.manufacturer_fmc,,,
product_template_1456,Cigaral 8G WG Saco 1x20kg,True,Goods,1.0,0.0,0.0,20.0,1.0,,0.0,,,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,marin_data.uom_163,marin_data.product_category_146,product_unspsc.unspsc_code_10191509,marin_data.manufacturer_nufarm,,,
product_template_1457,Cipermetrina 1L,True,Goods,1.0,140.0,0.001,1.1,1.0,,0.0,,True,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_litre,marin_data.product_category_144,product_unspsc.unspsc_code_10191509,marin_data.manufacturer_koor,,,
product_template_1458,Citan 1L,True,Goods,350.0,500.0,0.001,1.1,1.0,,0.0,True,,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,uom.product_uom_litre,marin_data.product_category_135,product_unspsc.unspsc_code_10170000,marin_data.manufacturer_versa,,,marin_data.pos_category_102
product_template_1459,Citlalli 2% 1x10kg,True,Goods,422.87,800.0,0.0,10.0,1.0,,0.0,,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_160,marin_data.product_category_146,product_unspsc.unspsc_code_10191509,marin_data.manufacturer_versa,,marin_data.product_tag_81,marin_data.pos_category_105
product_template_1460,Citlalli 2% 1x20kg,True,Goods,1.0,1100.0,0.0,20.0,1.0,,0.0,,,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_163,marin_data.product_category_146,product_unspsc.unspsc_code_10191509,marin_data.manufacturer_versa,,marin_data.product_tag_81,
product_template_1461,Citlalli 350SC 1L,True,Goods,374.21,800.0,0.001,1.1,1.0,,0.0,,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,uom.product_uom_litre,marin_data.product_category_147,product_unspsc.unspsc_code_10191509,marin_data.manufacturer_versa,,marin_data.product_tag_81,marin_data.pos_category_105
