id,tax_id/id,account_id/id,tag_ids/id
marin.tax_repartition_line_5222,marin.tax_1056_ish_4_0_602_lmmg,marin.account_602_49_001_lmmg,
marin.tax_repartition_line_5224,marin.tax_1056_ish_4_0_602_lmmg,marin.account_602_49_001_lmmg,
marin.tax_repartition_line_5225,marin.tax_1057_vat_0_0_lmmg,,l10n_mx.l10n_mx_out_diot_0
marin.tax_repartition_line_5226,marin.tax_1057_vat_0_0_lmmg,marin.account_118_01_001_lmmg,
marin.tax_repartition_line_5228,marin.tax_1057_vat_0_0_lmmg,marin.account_118_01_001_lmmg,l10n_mx.l10n_mx_out_diot_refunds
marin.tax_repartition_line_5230,marin.tax_1058_vat_0_0_lmmg,marin.account_208_01_001_lmmg,
marin.tax_repartition_line_5232,marin.tax_1058_vat_0_0_lmmg,marin.account_208_01_001_lmmg,
marin.tax_repartition_line_5233,marin.tax_1059_vat_0_0_non_deductible_lmmg,,marin.account_account_tag_26
marin.tax_repartition_line_5234,marin.tax_1059_vat_0_0_non_deductible_lmmg,marin.account_602_83_007_lmmg,
marin.tax_repartition_line_5236,marin.tax_1059_vat_0_0_non_deductible_lmmg,marin.account_602_83_007_lmmg,marin.account_account_tag_25
marin.tax_repartition_line_5237,marin.tax_1060_vat_16_0_lmmg,,l10n_mx.l10n_mx_out_diot_16
marin.tax_repartition_line_5238,marin.tax_1060_vat_16_0_lmmg,marin.account_118_01_001_lmmg,
marin.tax_repartition_line_5240,marin.tax_1060_vat_16_0_lmmg,marin.account_118_01_001_lmmg,l10n_mx.l10n_mx_out_diot_refunds
marin.tax_repartition_line_5242,marin.tax_1061_vat_16_0_lmmg,marin.account_208_01_001_lmmg,
marin.tax_repartition_line_5244,marin.tax_1061_vat_16_0_lmmg,marin.account_208_01_001_lmmg,
marin.tax_repartition_line_5245,marin.tax_1062_vat_16_0_non_deductible_lmmg,,l10n_mx.l10n_mx_out_diot_16_no_acreditable
marin.tax_repartition_line_5246,marin.tax_1062_vat_16_0_non_deductible_lmmg,marin.account_602_83_007_lmmg,
marin.tax_repartition_line_5248,marin.tax_1062_vat_16_0_non_deductible_lmmg,marin.account_602_83_007_lmmg,l10n_mx.l10n_mx_in_diot_16_no_acreditable
marin.tax_repartition_line_5253,marin.tax_1064_vat_exempt_lmmg,,l10n_mx.l10n_mx_out_diot_exento
marin.tax_repartition_line_5254,marin.tax_1064_vat_exempt_lmmg,marin.account_118_01_001_lmmg,
marin.tax_repartition_line_5255,marin.tax_1064_vat_exempt_lmmg,,l10n_mx.l10n_mx_in_diot_exento
marin.tax_repartition_line_5256,marin.tax_1064_vat_exempt_lmmg,marin.account_118_01_001_lmmg,
marin.tax_repartition_line_5258,marin.tax_1065_vat_exempt_lmmg,marin.account_208_01_001_lmmg,
marin.tax_repartition_line_5260,marin.tax_1065_vat_exempt_lmmg,marin.account_208_01_001_lmmg,
marin.tax_repartition_line_5262,marin.tax_1066_ish_4_0_602_glmm,marin.account_602_49_001_glmm,
marin.tax_repartition_line_5264,marin.tax_1066_ish_4_0_602_glmm,marin.account_602_49_001_glmm,
marin.tax_repartition_line_5265,marin.tax_1067_vat_0_0_glmm,,l10n_mx.l10n_mx_out_diot_0
marin.tax_repartition_line_5266,marin.tax_1067_vat_0_0_glmm,marin.account_118_01_001_glmm,
marin.tax_repartition_line_5268,marin.tax_1067_vat_0_0_glmm,marin.account_118_01_001_glmm,l10n_mx.l10n_mx_out_diot_refunds
marin.tax_repartition_line_5270,marin.tax_1068_vat_0_0_glmm,marin.account_208_01_001_glmm,
marin.tax_repartition_line_5272,marin.tax_1068_vat_0_0_glmm,marin.account_208_01_001_glmm,
marin.tax_repartition_line_5273,marin.tax_1069_vat_16_0_glmm,,l10n_mx.l10n_mx_out_diot_16
marin.tax_repartition_line_5274,marin.tax_1069_vat_16_0_glmm,marin.account_118_01_001_glmm,
marin.tax_repartition_line_5276,marin.tax_1069_vat_16_0_glmm,marin.account_118_01_001_glmm,l10n_mx.l10n_mx_out_diot_refunds
marin.tax_repartition_line_5278,marin.tax_1070_vat_16_0_glmm,marin.account_208_01_001_glmm,
marin.tax_repartition_line_5280,marin.tax_1070_vat_16_0_glmm,marin.account_208_01_001_glmm,
marin.tax_repartition_line_5282,marin.tax_1071_vat_16_0_non_deductible_glmm,marin.account_602_83_007_glmm,
marin.tax_repartition_line_5284,marin.tax_1071_vat_16_0_non_deductible_glmm,marin.account_602_83_007_glmm,
marin.tax_repartition_line_5285,marin.tax_1072_vat_exempt_glmm,,l10n_mx.l10n_mx_out_diot_exento
marin.tax_repartition_line_5286,marin.tax_1072_vat_exempt_glmm,marin.account_118_01_001_glmm,
marin.tax_repartition_line_5287,marin.tax_1072_vat_exempt_glmm,,l10n_mx.l10n_mx_in_diot_exento
marin.tax_repartition_line_5288,marin.tax_1072_vat_exempt_glmm,marin.account_118_01_001_glmm,
marin.tax_repartition_line_5290,marin.tax_1073_vat_exempt_glmm,marin.account_208_01_001_glmm,
marin.tax_repartition_line_5292,marin.tax_1073_vat_exempt_glmm,marin.account_208_01_001_glmm,
