id,company_id/id,warehouse_id/id,default_location_src_id/id,default_location_dest_id/id,name,code,sequence_code,barcode,reservation_method,active,create_backorder,use_existing_lots,use_create_lots,sequence,color
picking_type_1120,marin_data.company_lmmr,marin_data.warehouse_107,marin_data.stock_location_1050,stock.stock_location_customers,PoS Orders,Delivery,POS,MICH-POS,At Confirmation,,Always,True,,200,10
picking_type_1121,marin_data.company_lmmr,marin_data.warehouse_108,stock.stock_location_suppliers,marin_data.stock_location_1058,Receipts SALT,Receipt,IN,SALT-RECEIPTS,At Confirmation,,Always,True,True,300,11
picking_type_1122,marin_data.company_lmmr,marin_data.warehouse_108,marin_data.stock_location_1058,stock.stock_location_customers,Deliveries SALT,Delivery,OUT,SALT-DELIVERY,Manually,,Always,True,,100,10
picking_type_1123,marin_data.company_lmmr,marin_data.warehouse_108,marin_data.stock_location_1058,marin_data.stock_location_1062,Pick,Internal Transfer,PICK,SALT-PICK,At Confirmation,,Ask,True,,700,0
picking_type_1124,marin_data.company_lmmr,marin_data.warehouse_108,marin_data.stock_location_1062,marin_data.stock_location_1058,Pack,Internal Transfer,PACK,SALT-PACK,At Confirmation,,Ask,True,,900,0
picking_type_1125,marin_data.company_lmmr,marin_data.warehouse_108,marin_data.stock_location_1059,marin_data.stock_location_1060,Quality Control,Internal Transfer,QC,SALTQC,At Confirmation,,Ask,True,,1600,0
picking_type_1126,marin_data.company_lmmr,marin_data.warehouse_108,marin_data.stock_location_1060,marin_data.stock_location_1058,Storage,Internal Transfer,STOR,SALTSTOR,At Confirmation,,Ask,True,,1700,0
picking_type_1127,marin_data.company_lmmr,marin_data.warehouse_108,marin_data.stock_location_1058,marin_data.stock_location_1058,Internal Transfers SALT,Internal Transfer,INT,SALT-INTERNAL,At Confirmation,,Never,True,,350,5
picking_type_1128,marin_data.company_lmmr,marin_data.warehouse_108,marin_data.stock_location_1059,marin_data.stock_location_1061,Cross Dock,Internal Transfer,XD,SALTXD,At Confirmation,,Ask,True,,1800,0
picking_type_1129,marin_data.company_lmmr,marin_data.warehouse_108,marin_data.stock_location_1058,marin_data.stock_location_1063,Pick Components,Internal Transfer,PC,SALT-PC,At Confirmation,,Ask,True,,800,0
picking_type_1130,marin_data.company_lmmr,marin_data.warehouse_108,marin_data.stock_location_1064,marin_data.stock_location_1058,Store Finished Product,Internal Transfer,SFP,SALT-SFP,At Confirmation,,Ask,True,True,1000,0
picking_type_1131,marin_data.company_lmmr,marin_data.warehouse_108,marin_data.stock_location_1058,marin_data.stock_location_1058,Manufacturing,Manufacturing,MO,SALT-MANUF,At Confirmation,,Always,True,True,600,0
picking_type_1132,marin_data.company_lmmr,marin_data.warehouse_108,marin_data.stock_location_1058,stock.stock_location_customers,PoS Orders,Delivery,POS,SALT-POS,At Confirmation,,Always,True,,200,10
picking_type_1133,marin_data.company_lmmr,marin_data.warehouse_109,stock.stock_location_suppliers,marin_data.stock_location_1066,Receipts MOCH,Receipt,IN,MOCH-RECEIPTS,At Confirmation,,Always,True,True,300,11
