id,name,invoice_label,type_tax_use,amount_type,amount,active,include_base_amount,is_base_affected,analytic,tax_exigibility,sequence,l10n_mx_tax_type,l10n_mx_factor_type,cash_basis_transition_account_id/id,tax_group_id/id,country_id/id,company_id/id
tax_1052_ieps_exempt_lmmg,IEPS exempt,IEPS exempt,Purchases,Percentage,0.0,True,,,,Based on Payment,23,IEPS,Exento,marin_data.account_119_03_001_lmmg,marin_data.tax_group_1046_ieps_pesticides_lmmg,base.mx,marin_data.company_lmmg
tax_1053_ish_2_0_602_lmmg,ISH 2.0% 602,ISH2.0%,Purchases,Percentage,2.0,True,,,True,Based on Invoice,44,IVA,Tasa,,marin_data.tax_group_1047_ish_lmmg,base.mx,marin_data.company_lmmg
tax_1054_ish_3_0_602_lmmg,ISH 3.0% 602,ISH3.0%,Purchases,Percentage,3.0,True,,,True,Based on Invoice,45,IVA,Tasa,,marin_data.tax_group_1047_ish_lmmg,base.mx,marin_data.company_lmmg
tax_1055_ish_3_5_602_lmmg,ISH 3.5% 602,ISH3.5%,Purchases,Percentage,3.5,True,,,True,Based on Invoice,46,IVA,Tasa,,marin_data.tax_group_1047_ish_lmmg,base.mx,marin_data.company_lmmg
tax_1056_ish_4_0_602_lmmg,ISH 4.0% 602,ISH4.0%,Purchases,Percentage,4.0,True,,,True,Based on Invoice,47,IVA,Tasa,,marin_data.tax_group_1047_ish_lmmg,base.mx,marin_data.company_lmmg
tax_1057_vat_0_0_lmmg,VAT 0.0%,VAT0.0%,Purchases,Percentage,0.0,True,,,,Based on Payment,6,IVA,Tasa,marin_data.account_119_01_002_lmmg,marin_data.tax_group_1050_vat_0_0_lmmg,base.mx,marin_data.company_lmmg
tax_1058_vat_0_0_lmmg,VAT 0.0%,VAT0.0%,Sales,Percentage,0.0,True,,,,Based on Payment,9,IVA,Tasa,marin_data.account_209_02_001_lmmg,marin_data.tax_group_1050_vat_0_0_lmmg,base.mx,marin_data.company_lmmg
tax_1059_vat_0_0_non_deductible_lmmg,VAT 0.0% non deductible,VAT0.0% non deduc,Purchases,Percentage,0.0,True,,,,Based on Payment,7,IVA,Tasa,marin_data.account_119_01_002_lmmg,marin_data.tax_group_1050_vat_0_0_lmmg,base.mx,marin_data.company_lmmg
tax_1060_vat_16_0_lmmg,VAT 16.0%,VAT16.0%,Purchases,Percentage,16.0,True,,True,True,Based on Payment,19,IVA,Tasa,marin_data.account_119_01_001_lmmg,marin_data.tax_group_1054_vat_16_0_lmmg,base.mx,marin_data.company_lmmg
tax_1061_vat_16_0_lmmg,VAT 16.0%,VAT16.0%,Sales,Percentage,16.0,True,,,,Based on Payment,22,IVA,Tasa,marin_data.account_209_01_001_lmmg,marin_data.tax_group_1054_vat_16_0_lmmg,base.mx,marin_data.company_lmmg
tax_1062_vat_16_0_non_deductible_lmmg,VAT 16.0% non deductible,VAT16.0% non deduc,Purchases,Percentage,16.0,True,,True,True,Based on Payment,20,IVA,Tasa,marin_data.account_119_01_002_lmmg,marin_data.tax_group_1054_vat_16_0_lmmg,base.mx,marin_data.company_lmmg
tax_1063_vat_4_0_retention_freights_lmmg,VAT 4.0% retention freights,VAT4.0% freight,Purchases,Percentage,-4.0,,,True,True,Based on Payment,12,IVA,Tasa,marin_data.account_216_10_010_lmmg,marin_data.tax_group_1055_vat_4_0_retention_lmmg,base.mx,marin_data.company_lmmg
tax_1064_vat_exempt_lmmg,VAT exempt,VAT exempt,Purchases,Percentage,0.0,True,,,,Based on Payment,3,IVA,Exento,marin_data.account_119_01_001_lmmg,marin_data.tax_group_1057_vat_exempt_lmmg,base.mx,marin_data.company_lmmg
tax_1065_vat_exempt_lmmg,VAT exempt,VAT exempt,Sales,Percentage,0.0,True,,,,Based on Payment,4,IVA,Exento,marin_data.account_209_02_001_lmmg,marin_data.tax_group_1057_vat_exempt_lmmg,base.mx,marin_data.company_lmmg
